edition_id,gb_game_id,name,deck,developers,publishers,site_detail_url,image_super_url
CAT-00081,12945,Lagoon,"A top-down, action RPG developed by Zoom. In it, players guide the hero, Nasir, on his quest to restore the purity of Lakeland's water.","Zoom, Inc.",Kemco,https://www.giantbomb.com/lagoon/3030-12945/,https://www.giantbomb.com/a/uploads/scale_large/9/93770/2363921-snes_lagoon.jpg
CAT-00085,13828,Terranigma,An Action-RPG from Quintet and Enix about the resurrection of the world. Ark has to fix the mess he made and travels around the globe to take part in the most important events in the history of the planet.,"Quintet Co., Ltd.",Enix Corporation; Nintendo,https://www.giantbomb.com/terranigma/3030-13828/,https://www.giantbomb.com/a/uploads/scale_large/8/82063/2190016-terranigma_wlp1_1920x1200.jpg
CAT-00086,13849,Equinox,"An isometric platforming game, and the sequel to Solstice. It features a series of progressively harder dungeons, as well as a number of weapons and spells that the player can use against their foes.",Acclaim Studios Manchester,"989 Studios; Sony Music Entertainment (Japan), Inc.",https://www.giantbomb.com/equinox/3030-13849/,https://www.giantbomb.com/a/uploads/scale_large/9/93770/2363813-snes_equinox_eu.jpg
CAT-00088,7274,ActRaiser,ActRaiser is a hybrid of two genres: city-building and action platformer. The player takes control of the powerful entity known as the Master in his quest to rebuild civilization.,"Quintet Co., Ltd.",Enix Corporation; Square Enix,https://www.giantbomb.com/actraiser/3030-7274/,https://www.giantbomb.com/a/uploads/scale_large/9/93770/2363111-snes_actraiser.jpg
CAT-00091,19507,Secret of Mana,"An action RPG for the Super Nintendo and the second game in the Seiken Densetsu series. Secret of Mana can be played by up to three players simultaneously, and is widely regarded as one of the system's finest games.",Squaresoft,Square Enix; Squaresoft,https://www.giantbomb.com/secret-of-mana/3030-19507/,https://www.giantbomb.com/a/uploads/scale_large/9/93770/2364736-snes_secretofmana.jpg
CAT-00094,13986,Soul Blazer,An action-RPG published by Enix for the SNES. The player has to restore the world above by delving deeper into an immense dungeon.,"Quintet Co., Ltd.",Enix Corporation; Ubisoft Entertainment,https://www.giantbomb.com/soul-blazer/3030-13986/,https://www.giantbomb.com/a/uploads/scale_large/9/93770/2364764-snes_soulblazer.jpg
CAT-01798,4692,Super Star Wars: Return of the Jedi,"An arcade-action interpretation of the third film in the original Star Wars trilogy, as Jedi Knight Luke Skywalker and his crew must rescue Han Solo and help destroy a re-built Death Star.","Acclaim Studios Salt Lake City; LucasArts Entertainment Company LLC; Realtime Associates, Inc.","Black Pearl Software; JVC Musical Industries, Inc.; LucasArts Entertainment Company LLC; THQ; Victor Entertainment",https://www.giantbomb.com/super-star-wars-return-of-the-jedi/3030-4692/,https://www.giantbomb.com/a/uploads/scale_large/8/87790/1787598-box_sswrotj.png
CAT-01800,8498,The Blues Brothers,Take control of either Jake or Elwood in this platformer.,"Titus Interactive, S.A.","Titus Interactive, S.A.",https://www.giantbomb.com/the-blues-brothers/3030-8498/,https://www.giantbomb.com/a/uploads/scale_large/9/93770/2361180-nes_bluesbrothers.jpg
CAT-01802,11061,Total Carnage,"A bloody arcade shooter developed by Midway Games, which follows the exploits of two soldiers out to kill General Akhboob.",Black Pearl Software; Midway Games,Malibu Games; Midway Games,https://www.giantbomb.com/total-carnage/3030-11061/,https://www.giantbomb.com/a/uploads/scale_large/8/87790/2983195-box_tc.png
CAT-01803,52893,Lucky Luke,An action game based on the French-Belgian comic series of the same name. It was released on SNES and PC in 1997 and published and developed by Infogrames.,Atari SA,Atari SA,https://www.giantbomb.com/lucky-luke/3030-52893/,https://www.giantbomb.com/a/uploads/scale_large/16/164924/2912620-6495870440-29689.jpg
CAT-01804,5721,Jurassic Park,An action game to coincide with the release of the 1993 movie and the first game based on the franchise. Take control of Dr. Grant and attempt to escape Jurassic Park.,Limited Run Games; Ocean Software Ltd.,Jaleco Ltd.; Limited Run Games; Ocean Software Ltd.,https://www.giantbomb.com/jurassic-park/3030-5721/,https://www.giantbomb.com/a/uploads/scale_large/9/93770/2363891-snes_jurassicpark.jpg
CAT-01806,12002,Wolverine: Adamantium Rage,Wolverine is on a mission to find out more about his past in this 16-bit superhero brawler from Bits Studio that covers multiple comic book arcs featuring the angriest (and Canadian-ist) member of the X-Men.,"Bits Studios Ltd.; Teeny Weeny Games, Ltd.","Acclaim Entertainment, Inc.; LJN",https://www.giantbomb.com/wolverine-adamantium-rage/3030-12002/,https://www.giantbomb.com/a/uploads/scale_large/9/93770/2389657-genesis_wolverineadamantiumrage.jpg
CAT-01813,13862,NBA All-Star Challenge,A half-court one-on-one basketball game featuring one star player from each of the teams in the NBA. The players were chosen from the 1991-92 season NBA roster.,Beam Software,"Acclaim Entertainment, Inc.; Flying Edge; LJN",https://www.giantbomb.com/nba-all-star-challenge/3030-13862/,https://www.giantbomb.com/a/uploads/scale_large/9/93770/2364483-snes_nbaallstarchallenge.jpg
CAT-01816,2760,Art of Fighting,"SNK's second foray into the fighting game genre, known for its dedicated linear story, camera zooming effect (allowing for large character sprites in close-range combat), and the introduction of a gauge that depletes when certain moves are used.",Monolith; SNK,"D4 Enterprise, Inc.; HAMSTER Corporation; K. Amusement Leasing Co.; SNK; TAKARA Co., Ltd.",https://www.giantbomb.com/art-of-fighting/3030-2760/,https://www.giantbomb.com/a/uploads/scale_large/0/8072/287432-aof.jpg
