edition_id,gb_game_id,name,deck,developers,publishers,site_detail_url,image_super_url,source
CAT-42845,32829,Super Battletank 2,A first-person tank simulator and the third game in Garry Kitchen's Battletank franchise.,Imagineering Inc.,"Absolute Entertainment; Pack-In-Video Co., Ltd",https://www.giantbomb.com/super-battletank-2/3030-32829/,https://www.giantbomb.com/a/uploads/scale_large/0/9493/1542672-sbt2box.jpeg,giantbomb
CAT-60684,45818,American Bass Challenge,A challenging simulation take on virtual fishing,Starfish,Starfish; Ubisoft Entertainment,https://www.giantbomb.com/american-bass-challenge/3030-45818/,https://www.giantbomb.com/a/uploads/scale_large/4/45816/2614419-0250.jpg,giantbomb
CAT-20327,6763,Skyblazer,"Skyblazer is an action platformer from Sony Imagesoft, released exclusively on the Super Nintendo.","Ukiyotei Company, Ltd.","989 Studios; Sony Interactive Entertainment America; Sony Music Entertainment (Japan), Inc.",https://www.giantbomb.com/skyblazer/3030-6763/,https://www.giantbomb.com/a/uploads/scale_large/9/93770/2364760-snes_skyblazer_2.jpg,giantbomb
CAT-19814,19134,Street Fighter Alpha 2,"The sequel to (and remake of) Street Fighter Alpha brings five new fighters into the fray including newcomer schoolgirl Sakura while adding a new special ability: the ""Custom Combo"", in which players can trigger a massive timed combo chain using their Super Meter.",Capcom,"Capcom; Virgin Interactive Entertainment, Inc.",https://www.giantbomb.com/street-fighter-alpha-2/3030-19134/,https://www.giantbomb.com/a/uploads/scale_large/8/87790/1791303-box_sfa2.png,giantbomb
CAT-42386,32829,Super Battletank 2,A first-person tank simulator and the third game in Garry Kitchen's Battletank franchise.,Imagineering Inc.,"Absolute Entertainment; Pack-In-Video Co., Ltd",https://www.giantbomb.com/super-battletank-2/3030-32829/,https://www.giantbomb.com/a/uploads/scale_large/0/9493/1542672-sbt2box.jpeg,giantbomb
CAT-37942,7391,Mega Man 7,"The seventh installment of the Mega Man series brings Mega Man's antics to Nintendo's 16-bit console, as our robotic hero sets out to find the whereabouts of Dr. Wily (who recently escaped from prison) while encountering a mysterious new robotic ally Bass.",Capcom,Capcom,https://www.giantbomb.com/mega-man-7/3030-7391/,https://www.giantbomb.com/a/uploads/scale_large/8/87790/2593785-box_mm7b.png,giantbomb
CAT-55765,46015,Dragon's Earth,A fantasy tactical strategy game for the Super Famicom from Human Entertainment.,"Human Entertainment, Inc.","Human Entertainment, Inc.",https://www.giantbomb.com/dragons-earth/3030-46015/,https://www.giantbomb.com/a/uploads/scale_large/2/23093/2620805-dragons_earth_sfc.jpg,giantbomb
CAT-26980,1815,True Lies,A top-down shooter based on the 1994 action film of the same name starring Arnold Schwarzenegger where he is trying to get to the bottom of a terrorist organization.,Beam Software,"Acclaim Entertainment, Inc.; LJN",https://www.giantbomb.com/true-lies/3030-1815/,https://www.giantbomb.com/a/uploads/scale_large/9/93770/2364683-snes_truelies.jpg,giantbomb
CAT-34429,6562,Theme Park,A management simulation game from Bullfrog in which the goal is to take control of an amusement park and try to make it as successful as possible.,"Bullfrog Productions, Ltd.; Digital Hearts Co., Ltd.; EA Studios Japan; Krisalis Software Ltd.",Domark Software; Electronic Arts; Electronic Arts Victor; Ocean Software Ltd.,https://www.giantbomb.com/theme-park/3030-6562/,https://www.giantbomb.com/a/uploads/scale_large/0/3413/298146-theme_park_cover.jpg,giantbomb
CAT-21879,11992,Super Bomberman,"Super Bomberman was the first Bomberman game to appear on the SNES, and the first game on that system to feature 4 player simultaneous play via the multitap.","Hudson Entertainment, Inc.","Hudson Entertainment, Inc.",https://www.giantbomb.com/super-bomberman/3030-11992/,https://www.giantbomb.com/a/uploads/scale_large/9/93770/2364810-snes_superbomberman_au.jpg,giantbomb
