igdb_id,name,first_release_date_ts,first_release_date_ymd,genres,themes,game_modes,player_perspectives,franchises,collection,platforms,aggregated_rating
5565,Golden Axe,601862400,1989-01-27,Hack and slash/Beat 'em up; Arcade,Action; Fantasy,Single player; Multiplayer; Co-operative,Third person; Side view,Golden Axe,,Arcade; PlayStation 3; Commodore C64/128/MAX; ZX Spectrum; Wii; Atari ST/STE; DOS; Amiga; WonderSwan Color; Turbografx-16/PC Engine CD; Xbox 360; Amstrad CPC,65.0
270346,Super Mario World,1008288000,2001-12-14,Platform,Action; Fantasy,Single player; Multiplayer,Side view,Mario,,Game Boy Advance,
23597,Actraiser,1093996800,2004-09-01,Platform,Action,Single player,Side view,,,Legacy Mobile Device,37.0
7704,ActRaiser 2,751852800,1993-10-29,Platform; Adventure,Action; Fantasy,Single player,Bird view / Isometric; Side view,,,Super Nintendo Entertainment System; Super Famicom,
5341,Addams Family Values,791596800,1995-02-01,Role-playing (RPG),Action,Single player,Side view,The Addams Family,,Super Nintendo Entertainment System; Sega Mega Drive/Genesis,
5339,Aaahh!!! Real Monsters,808444800,1995-08-15,Platform; Adventure,Action; Horror; Comedy; Kids,Single player,Side view,Aaahh!!! Real Monsters,,Super Nintendo Entertainment System; Sega Mega Drive/Genesis,
46193,Super Baseball 2020,685324800,1991-09-20,Sport; Arcade,Science fiction,Single player; Multiplayer,Third person; Bird view / Isometric,,,Neo Geo AES; Arcade; Super Nintendo Entertainment System; Wii; Neo Geo CD; Super Famicom,
38353,Accele Brid,754272000,1993-11-26,Shooter,Action; Science fiction,Single player,Third person,,,Super Famicom,
11884,ABC Monday Night Football,631065600,1989-12-31,Sport,,Single player; Multiplayer,,ABC,,Commodore C64/128/MAX; Super Nintendo Entertainment System; DOS; Amiga; Super Famicom,
42349,'96 Zenkoku Koukou Soccer Senshuken,827452800,1996-03-22,Sport,,Single player; Multiplayer,Bird view / Isometric,,,Super Famicom,
292078,240p Test Suite,,,,,,Text,,,ColecoVision; Neo Geo AES; SG-1000; Neo Geo MVS; Super Nintendo Entertainment System; Nintendo GameCube; Sega Mega Drive/Genesis; TurboGrafx-16/PC Engine; Atari Jaguar; PlayStation; Neo Geo CD; Turbografx-16/PC Engine CD; Sega CD; Game Boy; Nintendo Entertainment System; Sega Master System/Mark III; MSX; Dreamcast,
42568,Ballz 3D,778377600,1994-09-01,Fighting,Action,Single player,Side view,,,Super Nintendo Entertainment System; Sega Mega Drive/Genesis; 3DO Interactive Multiplayer,
38240,4-nin Shogi,805680000,1995-07-14,Card & Board Game,,Single player; Multiplayer,Bird view / Isometric,,,Super Famicom,
