igdb_id,platform_id,platform_name
5565,52,Arcade
5565,9,PlayStation 3
5565,15,Commodore C64/128/MAX
5565,26,ZX Spectrum
5565,5,Wii
5565,63,Atari ST/STE
5565,13,DOS
5565,16,Amiga
5565,123,WonderSwan Color
5565,150,Turbografx-16/PC Engine CD
5565,12,Xbox 360
5565,25,Amstrad CPC
270346,24,Game Boy Advance
23597,55,Legacy Mobile Device
7704,19,Super Nintendo Entertainment System
7704,58,Super Famicom
5341,19,Super Nintendo Entertainment System
5341,29,Sega Mega Drive/Genesis
5339,19,Super Nintendo Entertainment System
5339,29,Sega Mega Drive/Genesis
46193,80,Neo Geo AES
46193,52,Arcade
46193,19,Super Nintendo Entertainment System
46193,5,Wii
46193,136,Neo Geo CD
46193,58,Super Famicom
38353,58,Super Famicom
11884,15,Commodore C64/128/MAX
11884,19,Super Nintendo Entertainment System
11884,13,DOS
11884,16,Amiga
11884,58,Super Famicom
42349,58,Super Famicom
292078,68,ColecoVision
292078,80,Neo Geo AES
292078,84,SG-1000
292078,79,Neo Geo MVS
292078,19,Super Nintendo Entertainment System
292078,21,Nintendo GameCube
292078,29,Sega Mega Drive/Genesis
292078,86,TurboGrafx-16/PC Engine
292078,62,Atari Jaguar
292078,7,PlayStation
292078,136,Neo Geo CD
292078,150,Turbografx-16/PC Engine CD
292078,78,Sega CD
292078,33,Game Boy
292078,18,Nintendo Entertainment System
292078,64,Sega Master System/Mark III
292078,27,MSX
292078,23,Dreamcast
42568,19,Super Nintendo Entertainment System
42568,29,Sega Mega Drive/Genesis
42568,50,3DO Interactive Multiplayer
38240,58,Super Famicom
6979,19,Super Nintendo Entertainment System
6979,58,Super Famicom
42301,58,Super Famicom
63844,58,Super Famicom
46770,52,Arcade
46770,19,Super Nintendo Entertainment System
46770,58,Super Famicom
38352,58,Super Famicom
49256,24,Game Boy Advance
5352,51,Family Computer Disk System
5352,52,Arcade
5352,121,Sharp X68000
5352,29,Sega Mega Drive/Genesis
5352,63,Atari ST/STE
5352,86,TurboGrafx-16/PC Engine
5352,16,Amiga
5352,32,Sega Saturn
5352,18,Nintendo Entertainment System
7747,19,Super Nintendo Entertainment System
7747,33,Game Boy
7747,58,Super Famicom
8448,19,Super Nintendo Entertainment System
8448,29,Sega Mega Drive/Genesis
8448,6,PC (Microsoft Windows)
8448,58,Super Famicom
38196,19,Super Nintendo Entertainment System
72032,19,Super Nintendo Entertainment System
72032,6,PC (Microsoft Windows)
289866,3,Linux
289866,6,PC (Microsoft Windows)
289866,14,Mac
42383,58,Super Famicom
38425,19,Super Nintendo Entertainment System
45878,19,Super Nintendo Entertainment System
45878,30,Sega 32X
705,4,Nintendo 64
705,6,PC (Microsoft Windows)
705,7,PlayStation
3285,58,Super Famicom
42221,58,Super Famicom
37820,58,Super Famicom
56417,118,FM Towns
42479,19,Super Nintendo Entertainment System
42479,29,Sega Mega Drive/Genesis
560,9,PlayStation 3
560,6,PC (Microsoft Windows)
560,12,Xbox 360
37854,58,Super Famicom
71214,15,Commodore C64/128/MAX
71214,19,Super Nintendo Entertainment System
71214,63,Atari ST/STE
71214,6,PC (Microsoft Windows)
71214,39,iOS
71214,13,DOS
71214,16,Amiga
82102,24,Game Boy Advance
114033,19,Super Nintendo Entertainment System
114033,58,Super Famicom
18067,19,Super Nintendo Entertainment System
18067,41,Wii U
18067,137,New Nintendo 3DS
18067,58,Super Famicom
1073,306,Satellaview
1073,19,Super Nintendo Entertainment System
1073,58,Super Famicom
240915,7,PlayStation
42212,149,PC-9800 Series
42212,58,Super Famicom
4389,19,Super Nintendo Entertainment System
4389,29,Sega Mega Drive/Genesis
46681,19,Super Nintendo Entertainment System
46681,29,Sega Mega Drive/Genesis
46681,35,Sega Game Gear
46681,33,Game Boy
276017,24,Game Boy Advance
42254,58,Super Famicom
77378,19,Super Nintendo Entertainment System
20134,19,Super Nintendo Entertainment System
20134,29,Sega Mega Drive/Genesis
20134,32,Sega Saturn
20134,7,PlayStation
97118,58,Super Famicom
32601,19,Super Nintendo Entertainment System
32601,6,PC (Microsoft Windows)
249148,22,Game Boy Color
1741,19,Super Nintendo Entertainment System
1741,37,Nintendo 3DS
1741,5,Wii
1741,39,iOS
1741,13,DOS
1741,41,Wii U
1741,137,New Nintendo 3DS
1741,58,Super Famicom
307353,3,Linux
307353,6,PC (Microsoft Windows)
38019,58,Super Famicom
4492,19,Super Nintendo Entertainment System
4492,29,Sega Mega Drive/Genesis
42581,19,Super Nintendo Entertainment System
42581,58,Super Famicom
74032,13,DOS
74032,16,Amiga
282484,35,Sega Game Gear
167154,52,Arcade
167154,6,PC (Microsoft Windows)
213885,50,3DO Interactive Multiplayer
323388,6,PC (Microsoft Windows)
323388,48,PlayStation 4
135268,4,Nintendo 64
72812,169,Xbox Series X|S
72812,48,PlayStation 4
72812,508,Nintendo Switch 2
72812,34,Android
72812,6,PC (Microsoft Windows)
72812,39,iOS
72812,167,PlayStation 5
72812,130,Nintendo Switch
287084,32,Sega Saturn
287084,7,PlayStation
222820,33,Game Boy
136080,48,PlayStation 4
136080,49,Xbox One
45781,19,Super Nintendo Entertainment System
45781,29,Sega Mega Drive/Genesis
28389,19,Super Nintendo Entertainment System
28389,58,Super Famicom
1253,19,Super Nintendo Entertainment System
5405,19,Super Nintendo Entertainment System
5405,29,Sega Mega Drive/Genesis
5405,13,DOS
5405,78,Sega CD
6621,82,Web browser
6621,19,Super Nintendo Entertainment System
6621,5,Wii
6621,41,Wii U
6621,137,New Nintendo 3DS
6621,58,Super Famicom
242310,33,Game Boy
37832,306,Satellaview
37832,58,Super Famicom
198998,475,R-Zone
42506,19,Super Nintendo Entertainment System
1498,123,WonderSwan Color
1498,58,Super Famicom
42617,121,Sharp X68000
42617,19,Super Nintendo Entertainment System
42617,58,Super Famicom
38130,58,Super Famicom
198669,411,Handheld Electronic LCD
330214,19,Super Nintendo Entertainment System
346267,35,Sega Game Gear
280811,18,Nintendo Entertainment System
284101,99,Family Computer
1726,41,Wii U
1726,24,Game Boy Advance
1726,58,Super Famicom
1534,306,Satellaview
1534,19,Super Nintendo Entertainment System
1534,58,Super Famicom
262153,33,Game Boy
20298,52,Arcade
20298,19,Super Nintendo Entertainment System
20298,29,Sega Mega Drive/Genesis
20298,6,PC (Microsoft Windows)
20298,32,Sega Saturn
20298,7,PlayStation
4449,114,Amiga CD32
4449,19,Super Nintendo Entertainment System
4449,30,Sega 32X
4449,29,Sega Mega Drive/Genesis
4449,13,DOS
4449,16,Amiga
4449,78,Sega CD
47498,149,PC-9800 Series
47498,121,Sharp X68000
47498,125,PC-8800 Series
47498,19,Super Nintendo Entertainment System
47498,13,DOS
47498,118,FM Towns
47498,27,MSX
42613,19,Super Nintendo Entertainment System
243453,19,Super Nintendo Entertainment System
243453,5,Wii
243453,41,Wii U
243453,137,New Nintendo 3DS
243453,58,Super Famicom
204616,19,Super Nintendo Entertainment System
204616,58,Super Famicom
44437,58,Super Famicom
99509,48,PlayStation 4
99509,6,PC (Microsoft Windows)
99509,49,Xbox One
99509,130,Nintendo Switch
42557,19,Super Nintendo Entertainment System
21023,37,Nintendo 3DS
1720,19,Super Nintendo Entertainment System
1720,37,Nintendo 3DS
1720,41,Wii U
1720,137,New Nintendo 3DS
1720,58,Super Famicom
5404,19,Super Nintendo Entertainment System
5404,58,Super Famicom
8121,19,Super Nintendo Entertainment System
8121,29,Sega Mega Drive/Genesis
42456,19,Super Nintendo Entertainment System
147969,3,Linux
147969,6,PC (Microsoft Windows)
147969,130,Nintendo Switch
9151,19,Super Nintendo Entertainment System
9151,5,Wii
9151,41,Wii U
9151,137,New Nintendo 3DS
9151,58,Super Famicom
9619,19,Super Nintendo Entertainment System
9619,5,Wii
9619,41,Wii U
9619,137,New Nintendo 3DS
9619,58,Super Famicom
44418,58,Super Famicom
265033,18,Nintendo Entertainment System
112875,48,PlayStation 4
112875,6,PC (Microsoft Windows)
112875,167,PlayStation 5
1656,19,Super Nintendo Entertainment System
1656,5,Wii
1656,41,Wii U
1656,137,New Nintendo 3DS
1656,58,Super Famicom
6349,306,Satellaview
6349,19,Super Nintendo Entertainment System
6349,24,Game Boy Advance
6349,58,Super Famicom
38389,58,Super Famicom
95412,58,Super Famicom
4514,80,Neo Geo AES
4514,52,Arcade
4514,9,PlayStation 3
4514,79,Neo Geo MVS
4514,48,PlayStation 4
4514,19,Super Nintendo Entertainment System
4514,5,Wii
4514,29,Sega Mega Drive/Genesis
4514,6,PC (Microsoft Windows)
4514,46,PlayStation Vita
4514,38,PlayStation Portable
4514,136,Neo Geo CD
4514,150,Turbografx-16/PC Engine CD
4514,49,Xbox One
4514,130,Nintendo Switch
4514,58,Super Famicom
38320,5,Wii
38320,41,Wii U
38320,58,Super Famicom
243989,118,FM Towns
45227,7,PlayStation
228792,35,Sega Game Gear
81467,19,Super Nintendo Entertainment System
242267,19,Super Nintendo Entertainment System
242267,29,Sega Mega Drive/Genesis
18618,306,Satellaview
18618,19,Super Nintendo Entertainment System
18618,58,Super Famicom
18380,13,DOS
18380,14,Mac
202585,33,Game Boy
37944,58,Super Famicom
5550,306,Satellaview
5550,5,Wii
5550,32,Sega Saturn
5550,7,PlayStation
5550,58,Super Famicom
38185,306,Satellaview
38185,58,Super Famicom
15833,306,Satellaview
15833,32,Sega Saturn
15833,58,Super Famicom
42623,19,Super Nintendo Entertainment System
42736,19,Super Nintendo Entertainment System
42736,58,Super Famicom
18613,19,Super Nintendo Entertainment System
324956,5,Wii
324956,150,Turbografx-16/PC Engine CD
11313,5,Wii
11313,58,Super Famicom
37982,58,Super Famicom
217684,411,Handheld Electronic LCD
42348,58,Super Famicom
215181,58,Super Famicom
42342,58,Super Famicom
4259,52,Arcade
4259,114,Amiga CD32
4259,117,Philips CD-i
4259,19,Super Nintendo Entertainment System
4259,29,Sega Mega Drive/Genesis
4259,50,3DO Interactive Multiplayer
4259,13,DOS
4259,16,Amiga
42490,19,Super Nintendo Entertainment System
2162,19,Super Nintendo Entertainment System
2162,5,Wii
2162,29,Sega Mega Drive/Genesis
198801,411,Handheld Electronic LCD
1124,19,Super Nintendo Entertainment System
1124,5,Wii
1124,41,Wii U
1124,137,New Nintendo 3DS
1124,58,Super Famicom
84918,52,Arcade
84918,306,Satellaview
84918,19,Super Nintendo Entertainment System
84918,5,Wii
84918,39,iOS
84918,41,Wii U
84918,130,Nintendo Switch
84918,58,Super Famicom
39039,19,Super Nintendo Entertainment System
39039,114,Amiga CD32
1178,19,Super Nintendo Entertainment System
1178,58,Super Famicom
42662,19,Super Nintendo Entertainment System
42662,58,Super Famicom
42612,19,Super Nintendo Entertainment System
42612,5,Wii
37791,306,Satellaview
37791,58,Super Famicom
65990,59,Atari 2600
38125,58,Super Famicom
7804,19,Super Nintendo Entertainment System
7804,29,Sega Mega Drive/Genesis
7804,58,Super Famicom
27525,114,Amiga CD32
27525,19,Super Nintendo Entertainment System
27525,13,DOS
27525,33,Game Boy
231006,64,Sega Master System/Mark III
218750,29,Sega Mega Drive/Genesis
217942,411,Handheld Electronic LCD
11665,19,Super Nintendo Entertainment System
9861,19,Super Nintendo Entertainment System
9861,58,Super Famicom
4455,19,Super Nintendo Entertainment System
4455,29,Sega Mega Drive/Genesis
38161,58,Super Famicom
133313,33,Game Boy
3656,19,Super Nintendo Entertainment System
3656,5,Wii
3656,41,Wii U
3656,137,New Nintendo 3DS
3656,58,Super Famicom
23091,20,Nintendo DS
46231,19,Super Nintendo Entertainment System
46231,29,Sega Mega Drive/Genesis
46231,13,DOS
38374,58,Super Famicom
9633,306,Satellaview
9633,19,Super Nintendo Entertainment System
9633,58,Super Famicom
42423,306,Satellaview
42423,58,Super Famicom
174187,50,3DO Interactive Multiplayer
42621,306,Satellaview
42621,19,Super Nintendo Entertainment System
42621,58,Super Famicom
8050,19,Super Nintendo Entertainment System
8050,58,Super Famicom
153771,19,Super Nintendo Entertainment System
153771,58,Super Famicom
14531,19,Super Nintendo Entertainment System
4509,19,Super Nintendo Entertainment System
4509,29,Sega Mega Drive/Genesis
4509,13,DOS
174910,19,Super Nintendo Entertainment System
174910,58,Super Famicom
10162,19,Super Nintendo Entertainment System
10162,29,Sega Mega Drive/Genesis
10162,58,Super Famicom
4546,52,Arcade
4546,19,Super Nintendo Entertainment System
4546,30,Sega 32X
4546,29,Sega Mega Drive/Genesis
4546,6,PC (Microsoft Windows)
4546,13,DOS
4546,32,Sega Saturn
4546,7,PlayStation
1357,52,Arcade
1357,19,Super Nintendo Entertainment System
1357,63,Atari ST/STE
1357,16,Amiga
1357,58,Super Famicom
76999,19,Super Nintendo Entertainment System
76999,58,Super Famicom
136206,24,Game Boy Advance
219488,41,Wii U
219488,24,Game Boy Advance
74492,6,PC (Microsoft Windows)
15834,150,Turbografx-16/PC Engine CD
15834,58,Super Famicom
19712,52,Arcade
19712,19,Super Nintendo Entertainment System
19712,30,Sega 32X
19712,29,Sega Mega Drive/Genesis
19712,13,DOS
19712,62,Atari Jaguar
19712,32,Sega Saturn
19712,7,PlayStation
19712,58,Super Famicom
10843,19,Super Nintendo Entertainment System
10843,5,Wii
1092,19,Super Nintendo Entertainment System
1092,5,Wii
1092,41,Wii U
1092,137,New Nintendo 3DS
1092,58,Super Famicom
15889,306,Satellaview
15889,5,Wii
15889,41,Wii U
15889,58,Super Famicom
198028,55,Legacy Mobile Device
42447,19,Super Nintendo Entertainment System
42447,5,Wii
1103,19,Super Nintendo Entertainment System
1103,5,Wii
1103,41,Wii U
1103,137,New Nintendo 3DS
1103,58,Super Famicom
1026,306,Satellaview
1026,19,Super Nintendo Entertainment System
1026,5,Wii
1026,41,Wii U
1026,137,New Nintendo 3DS
1026,58,Super Famicom
329147,3,Linux
329147,6,PC (Microsoft Windows)
329147,14,Mac
159110,38,PlayStation Portable
55092,48,PlayStation 4
55092,6,PC (Microsoft Windows)
55092,46,PlayStation Vita
11616,306,Satellaview
11616,19,Super Nintendo Entertainment System
11616,58,Super Famicom
48939,19,Super Nintendo Entertainment System
48939,5,Wii
48939,35,Sega Game Gear
48939,58,Super Famicom
196441,33,Game Boy
265060,22,Game Boy Color
217956,411,Handheld Electronic LCD
207235,29,Sega Mega Drive/Genesis
49011,19,Super Nintendo Entertainment System
49011,29,Sega Mega Drive/Genesis
49011,33,Game Boy
307394,82,Web browser
7828,19,Super Nintendo Entertainment System
7828,29,Sega Mega Drive/Genesis
210342,39,iOS
42637,19,Super Nintendo Entertainment System
42637,7,PlayStation
42637,24,Game Boy Advance
10354,6,PC (Microsoft Windows)
10354,49,Xbox One
190013,19,Super Nintendo Entertainment System
190013,58,Super Famicom
42618,19,Super Nintendo Entertainment System
208990,29,Sega Mega Drive/Genesis
208990,55,Legacy Mobile Device
11603,19,Super Nintendo Entertainment System
11603,29,Sega Mega Drive/Genesis
11603,41,Wii U
11603,58,Super Famicom
353713,64,Sega Master System/Mark III
42655,19,Super Nintendo Entertainment System
81523,52,Arcade
81523,19,Super Nintendo Entertainment System
81523,58,Super Famicom
368893,35,Sega Game Gear
368893,64,Sega Master System/Mark III
37251,80,Neo Geo AES
37251,52,Arcade
37251,79,Neo Geo MVS
37251,19,Super Nintendo Entertainment System
37251,5,Wii
37251,136,Neo Geo CD
37251,150,Turbografx-16/PC Engine CD
327781,82,Web browser
327781,33,Game Boy
361131,34,Android
361131,39,iOS
198933,411,Handheld Electronic LCD
42636,306,Satellaview
42636,19,Super Nintendo Entertainment System
42636,6,PC (Microsoft Windows)
42636,58,Super Famicom
45708,19,Super Nintendo Entertainment System
45708,29,Sega Mega Drive/Genesis
45708,13,DOS
45708,16,Amiga
4245,19,Super Nintendo Entertainment System
4245,29,Sega Mega Drive/Genesis
45566,19,Super Nintendo Entertainment System
45566,29,Sega Mega Drive/Genesis
81899,33,Game Boy
223018,99,Family Computer
28509,19,Super Nintendo Entertainment System
28509,58,Super Famicom
19773,19,Super Nintendo Entertainment System
19773,29,Sega Mega Drive/Genesis
198845,411,Handheld Electronic LCD
42474,19,Super Nintendo Entertainment System
42474,58,Super Famicom
7351,48,PlayStation 4
7351,6,PC (Microsoft Windows)
7351,49,Xbox One
12675,19,Super Nintendo Entertainment System
12675,13,DOS
12675,16,Amiga
276932,58,Super Famicom
365654,35,Sega Game Gear
365654,64,Sega Master System/Mark III
14901,15,Commodore C64/128/MAX
14901,26,ZX Spectrum
14901,63,Atari ST/STE
14901,13,DOS
14901,16,Amiga
14901,25,Amstrad CPC
15844,5,Wii
15844,58,Super Famicom
49447,24,Game Boy Advance
49447,58,Super Famicom
45437,32,Sega Saturn
45437,7,PlayStation
42455,306,Satellaview
42455,19,Super Nintendo Entertainment System
42455,58,Super Famicom
1709,58,Super Famicom
38210,58,Super Famicom
42546,306,Satellaview
42546,58,Super Famicom
36731,58,Super Famicom
131387,8,PlayStation 2
63941,308,Playdia
42484,306,Satellaview
42484,58,Super Famicom
38184,58,Super Famicom
71128,80,Neo Geo AES
71128,52,Arcade
71128,9,PlayStation 3
71128,19,Super Nintendo Entertainment System
71128,5,Wii
71128,29,Sega Mega Drive/Genesis
71128,38,PlayStation Portable
71128,136,Neo Geo CD
71128,58,Super Famicom
37811,306,Satellaview
37811,58,Super Famicom
40451,52,Arcade
40451,19,Super Nintendo Entertainment System
40451,58,Super Famicom
36734,58,Super Famicom
37972,58,Super Famicom
38332,19,Super Nintendo Entertainment System
38332,58,Super Famicom
47587,32,Sega Saturn
47587,7,PlayStation
47587,136,Neo Geo CD
42425,58,Super Famicom
42270,58,Super Famicom
122266,130,Nintendo Switch
63509,306,Satellaview
63509,58,Super Famicom
46534,52,Arcade
46534,19,Super Nintendo Entertainment System
46534,29,Sega Mega Drive/Genesis
38371,58,Super Famicom
42242,58,Super Famicom
37836,58,Super Famicom
8564,52,Arcade
8564,19,Super Nintendo Entertainment System
8564,58,Super Famicom
58791,58,Super Famicom
1499,5,Wii
1499,58,Super Famicom
13091,121,Sharp X68000
13091,13,DOS
37843,58,Super Famicom
78959,35,Sega Game Gear
38154,58,Super Famicom
39578,52,Arcade
39578,58,Super Famicom
77634,5,Wii
77634,6,PC (Microsoft Windows)
77634,58,Super Famicom
4001,21,Nintendo GameCube
4001,8,PlayStation 2
38321,19,Super Nintendo Entertainment System
38321,58,Super Famicom
306049,169,Xbox Series X|S
306049,48,PlayStation 4
306049,6,PC (Microsoft Windows)
306049,167,PlayStation 5
306049,49,Xbox One
306049,130,Nintendo Switch
5579,149,PC-9800 Series
5579,121,Sharp X68000
5579,125,PC-8800 Series
5579,306,Satellaview
5579,5,Wii
5579,29,Sega Mega Drive/Genesis
5579,6,PC (Microsoft Windows)
5579,118,FM Towns
5579,53,MSX2
5579,150,Turbografx-16/PC Engine CD
5579,58,Super Famicom
99492,48,PlayStation 4
99492,6,PC (Microsoft Windows)
99492,49,Xbox One
99492,130,Nintendo Switch
129852,12,Xbox 360
38114,306,Satellaview
38114,58,Super Famicom
46596,19,Super Nintendo Entertainment System
46596,29,Sega Mega Drive/Genesis
42406,306,Satellaview
42406,19,Super Nintendo Entertainment System
42406,58,Super Famicom
42470,306,Satellaview
42470,58,Super Famicom
42555,58,Super Famicom
15935,58,Super Famicom
42531,58,Super Famicom
15893,19,Super Nintendo Entertainment System
15893,58,Super Famicom
15374,19,Super Nintendo Entertainment System
15374,63,Atari ST/STE
15843,5,Wii
15843,41,Wii U
15843,58,Super Famicom
42649,19,Super Nintendo Entertainment System
42649,58,Super Famicom
42462,58,Super Famicom
4393,5,Wii
4393,29,Sega Mega Drive/Genesis
4393,58,Super Famicom
4393,86,TurboGrafx-16/PC Engine
4393,125,PC-8800 Series
4450,115,Apple IIGS
4450,19,Super Nintendo Entertainment System
4450,5,Wii
4450,29,Sega Mega Drive/Genesis
4450,6,PC (Microsoft Windows)
4450,13,DOS
