igdb_id,date_ts,date_ymd,human,region_id,region_name,region_code,platform_id,platform_name
5565,601862400,1989-01-27,"Jan 27, 1989",5,Japan,JP,52,Arcade
5565,1014854400,2002-02-28,"Feb 28, 2002",5,Japan,JP,123,WonderSwan Color
5565,662601600,1990-12-31,1990,1,Europe,EU,26,ZX Spectrum
5565,1184630400,2007-07-17,"Jul 17, 2007",8,Worldwide,WW,12,Xbox 360
5565,1311120000,2011-07-20,"Jul 20, 2011",8,Worldwide,WW,9,PlayStation 3
5565,662601600,1990-12-31,1990,1,Europe,EU,16,Amiga
5565,662601600,1990-12-31,1990,1,Europe,EU,25,Amstrad CPC
5565,662601600,1990-12-31,1990,1,Europe,EU,63,Atari ST/STE
5565,637545600,1990-03-16,"Mar 16, 1990",,,UNKNOWN,150,Turbografx-16/PC Engine CD
5565,662601600,1990-12-31,1990,2,Korea,KR,13,DOS
5565,662601600,1990-12-31,1990,1,Europe,EU,15,Commodore C64/128/MAX
270346,1008288000,2001-12-14,"Dec 14, 2001",5,Japan,JP,24,Game Boy Advance
270346,1013472000,2002-02-12,"Feb 12, 2002",1,Europe,EU,24,Game Boy Advance
270346,1041292800,2002-12-31,2002,10,Brazil,BR,24,Game Boy Advance
270346,1142380800,2006-03-15,"Mar 15, 2006",6,China,CN,24,Game Boy Advance
270346,1013212800,2002-02-09,"Feb 09, 2002",2,Korea,KR,24,Game Boy Advance
5565,1184630400,2007-07-17,"Jul 17, 2007",,,UNKNOWN,12,Xbox 360
