object_number,title,title.type,object_name,platform_raw_first,platform_norm,object_name.type,object_category,broadcast_standard,title.language,place_of_publication,title_primary,alt_titles,accessory_type
1837,Kuifje in Tibet;Tintin in Tibet,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,PAL,Dutch;,Netherlands,Kuifje in Tibet,Tintin in Tibet,
1839,Eric Cantona Football Challenge;Striker;World Soccer '94 Road to Glory;World Soccer,Game Title;Game Title Alternative;Game Title Alternative;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,PAL,English;;;,France,Eric Cantona Football Challenge,Striker|World Soccer '94 Road to Glory|World Soccer,
1851,Champions World Class Endorsed by PSG;Champions World Class Endorsed by Paris Saint-Germain;Champions World Class Soccer;PSG Champions World Class Soccer;Champions World Class Soccer PSG,Game Title;Game Title Alternative;Game Title Alternative;Game Title Alternative;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,PAL,French;;;;,France,Champions World Class Endorsed by PSG,Champions World Class Endorsed by Paris Saint-Germain|Champions World Class Soccer|PSG Champions World Class Soccer|Champions World Class Soccer PSG,
1878,Les Schtroumpfs autour du monde;De Smurfen Verkennen de wereld;The Smurfs Travel the World,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,PAL,French;;,Netherlands,Les Schtroumpfs autour du monde,De Smurfen Verkennen de wereld|The Smurfs Travel the World,
8979,The Hunt For Red October;レッド オクトーバー;レッド・オクトーバー,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,The Hunt For Red October,レッド オクトーバー|レッド・オクトーバー,
8980,Treasure Hunter G;トレジャーハンターG,Game Title Alternative;Game Title,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Treasure Hunter G,トレジャーハンターG,
8981,Mouryou Senki Madara 2;魍魎戦記 Mandara 2;魍魎戦記 マダラ 2,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,Mouryou Senki Madara 2,魍魎戦記 Mandara 2|魍魎戦記 マダラ 2,
8982,GP-1 Rapid Stream;ＧＰ－１ ラピッドストリーム;GP1 Rapid Stream;GP-1 Part II;GP-1 Part 2,Game Title Alternative;Game Title;Game Title Alternative;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;;;,Japan,GP-1 Rapid Stream,ＧＰ－１ ラピッドストリーム|GP1 Rapid Stream|GP-1 Part II|GP-1 Part 2,
8984,Super F1 Circus 2;スーパー エフワン サーカス2;Super F-1 Circus 2,Game Title Alternative;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,Super F1 Circus 2,スーパー エフワン サーカス2|Super F-1 Circus 2,
8985,Angelique;アンジェリーク,Game Title Alternative;Game Title,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Angelique,アンジェリーク,
