object_number,title,title.type,object_name,platform_raw_first,platform_norm,object_name.type,object_category,title_primary,alt_titles,accessory_type
29642,Conflict The Middle East Simulation;Conflict,Game Title Alternative;Game Title,Commodore Amiga,Commodore Amiga,AMIGA,Diskette,Game,Conflict The Middle East Simulation,Conflict,
32661,Dragon's Lair LDG Laser Disc Game,Game Title,Commodore Amiga;Atari ST,Commodore Amiga,AMIGA,LD;,Game,Dragon's Lair LDG Laser Disc Game,,
33060,Amiga 2000,Computer Description,Commodore Amiga,Commodore Amiga,AMIGA,,Computer,Amiga 2000,,
33306,"GVP A500-HD8+, SCSI + RAM, Side expansion slot",Peripheral Description,Commodore Amiga;Commodore Amiga 500,Commodore Amiga,AMIGA,;,Peripheral,"GVP A500-HD8+, SCSI + RAM, Side expansion slot",,
34271,"Sounds Terrific Volume 2 CD by Wierd Science, Shipping box, 25 pieces;Sounds Terrific Volume 2",Media Description;Media Description,PC;Commodore Amiga,PC,,CD;,Media,"Sounds Terrific Volume 2 CD by Wierd Science, Shipping box, 25 pieces",Sounds Terrific Volume 2,soundtrack
34274,"Amiga 500, Special Badge, European Computer of the Year Award",Computer Description,Commodore Amiga,Commodore Amiga,AMIGA,,Computer,"Amiga 500, Special Badge, European Computer of the Year Award",,
34280,"Alfa Data OMM-MT Mouse for Amiga, Atari",Peripheral Description,Commodore Amiga;Atari ST,Commodore Amiga,AMIGA,;,Peripheral,"Alfa Data OMM-MT Mouse for Amiga, Atari",,
34284,"KCS Power PC Board, PC Emulator + RAM, Amiga 500 Trapdoor slot",Peripheral Description,Commodore Amiga,Commodore Amiga,AMIGA,,Peripheral,"KCS Power PC Board, PC Emulator + RAM, Amiga 500 Trapdoor slot",,
34287,Ambrosia RC AeroChopper R/C Flight Simulation System;R/C AeroChopper;RC AeroChopper;Ambrosia RC AeroChopper Controller,Game Bundle Description;Game Title;Game Title Alternative;Peripheral Description,Commodore Amiga,Commodore Amiga,AMIGA,Diskette,Game Bundle,Ambrosia RC AeroChopper R/C Flight Simulation System,R/C AeroChopper|RC AeroChopper|Ambrosia RC AeroChopper Controller,
36393,Indiana Jones and the Last Crusade,Game Title,Commodore Amiga,Commodore Amiga,AMIGA,Diskette,Game,Indiana Jones and the Last Crusade,,
36394,Indiana Jones and the Last Crusade,Game Title,Commodore Amiga,Commodore Amiga,AMIGA,Diskette,Game,Indiana Jones and the Last Crusade,,
36395,Sinbad and the Throne of the Falcon,Game Title,Commodore Amiga,Commodore Amiga,AMIGA,Diskette,Game,Sinbad and the Throne of the Falcon,,
36805,Rocket Ranger,Game Title,Commodore Amiga,Commodore Amiga,AMIGA,Diskette,Game,Rocket Ranger,,
36806,The Three Stooges,Game Title,Commodore Amiga,Commodore Amiga,AMIGA,Diskette,Game,The Three Stooges,,
36807,Erben der Erde Die Grosse Suche,Game Title,Commodore Amiga,Commodore Amiga,AMIGA,Diskette,Game,Erben der Erde Die Grosse Suche,,
36808,The Simpsons Bart VS. the Space Mutants,Game Title,Commodore Amiga,Commodore Amiga,AMIGA,Diskette,Game,The Simpsons Bart VS. the Space Mutants,,
36809,Birds of Prey,Game Title,Commodore Amiga,Commodore Amiga,AMIGA,Diskette,Game,Birds of Prey,,
