object_number,title,title.type,object_name,platform_raw_first,platform_norm,object_name.type,object_category,title_primary,alt_titles,accessory_type
11772,Gyro Set;ジャイロセット;Gyromite;R.O.B.,Game Title Alternative;Game Title;Game Title Alternative;Game Title Alternative,Nintendo Family Computer,Nintendo Family Computer,FAMICOM,Cartridge,Game Bundle,Gyro Set,ジャイロセット|Gyromite|R.O.B.,
11776,Karaoke Studio;カラオケスタジオ,Game Title Alternative;Game Title,Nintendo Family Computer,Nintendo Family Computer,FAMICOM,Cartridge,Game Bundle,Karaoke Studio,カラオケスタジオ,
23751,Assassin's Creed Bloodlines;Assassin's Creed: Bloodlines 100% Uncut;Assassin's Creed: Bloodlines Bundleversion,Game Title;Game Title Alternative;Game Title Alternative,Sony PlayStation Portable PSP,Sony PlayStation Portable PSP,PS,UMD,Game,Assassin's Creed Bloodlines,Assassin's Creed: Bloodlines 100% Uncut|Assassin's Creed: Bloodlines Bundleversion,
26508,Lufia + Guide book set;Lufia II Rise of the Sinistrals;Estpolis Denki II,Game Bundle Description;Game Title Alternative;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game Bundle,Lufia + Guide book set,Lufia II Rise of the Sinistrals|Estpolis Denki II,guide
27799,Super Mario Maker;Bundled with Amiibo,Game Title;Game Bundle Description,Nintendo Wii U,Nintendo Wii U,WIIU,Blu-ray,Game Bundle,Super Mario Maker,Bundled with Amiibo,
28876,They Sold a Million;Daley Thompson's Decathlon;Beach-Head;Jet Set Willy;The Staff of Karnath,Game Bundle Description;Game Title;Game Title;Game Title;Game Title,Commodore 64,Commodore 64,C64,Cassette Tape,Game Bundle,They Sold a Million,Daley Thompson's Decathlon|Beach-Head|Jet Set Willy|The Staff of Karnath,
29295,Hit Disks Volume 1;Jupiter Probe;Goldrunner;Slaygon;The Karate Kid Part II The Computer Game,Game Bundle Description;Game Title;Game Title;Game Title;Game Title,Commodore Amiga 500,Commodore Amiga 500,AMIGA,Diskette,Game Bundle,Hit Disks Volume 1,Jupiter Probe|Goldrunner|Slaygon|The Karate Kid Part II The Computer Game,
29315,Full Blast;Ferrari Formula 1;Carrier Command;Rick Dangerous;Highway Patrol 2;Chicago 90;P47,Game Bundle Description;Game Title;Game Title;Game Title;Game Title;Game Title;Game Title,Commodore Amiga 500,Commodore Amiga 500,AMIGA,Diskette,Game Bundle,Full Blast,Ferrari Formula 1|Carrier Command|Rick Dangerous|Highway Patrol 2|Chicago 90|P47,
29326,The Promised Lands and The Terrain Editor;Populous;Sim City,Game Bundle Description;Game Title;Game Title,Commodore Amiga 500,Commodore Amiga 500,AMIGA,Diskette,Game Bundle,The Promised Lands and The Terrain Editor,Populous|Sim City,
29329,Magnum 4;Batman The Caped Crusader;After Burner;Double Dragon;Operation Wolf,Game Bundle Description;Game Title;Game Title;Game Title;Game Title,Commodore Amiga 500,Commodore Amiga 500,AMIGA,Diskette,Game Bundle,Magnum 4,Batman The Caped Crusader|After Burner|Double Dragon|Operation Wolf,
29332,The Promised Lands and The Terrain Editor;Populous;Sim City,Game Bundle Description;Game Title;Game Title,Commodore Amiga 500,Commodore Amiga 500,AMIGA,Diskette,Game Bundle,The Promised Lands and The Terrain Editor,Populous|Sim City,
29333,Champions;Jahangir Khan World Championship Squash;Manchester United Europe;World Championship Boxing Manager,Game Bundle Description;Game Title;Game Title;Game Title,Commodore Amiga 500,Commodore Amiga 500,AMIGA,Diskette,Game Bundle,Champions,Jahangir Khan World Championship Squash|Manchester United Europe|World Championship Boxing Manager,
29375,Les Gen D'or De Génération 4;IK+;Voyager;Bio Challenge;R-Type,Game Bundle Description;Game Title;Game Title;Game Title;Game Title,Commodore Amiga 500,Commodore Amiga 500,AMIGA,Diskette,Game Bundle,Les Gen D'or De Génération 4,IK+|Voyager|Bio Challenge|R-Type,
29382,Sega Sports 1;Super Monaco;Wimbledon;Ultimate Soccer,Game Bundle Description;Game Title;Game Title;,Sega Mega Drive,Sega Mega Drive,MD,Cartridge,Game Bundle,Sega Sports 1,Super Monaco|Wimbledon|Ultimate Soccer,
29413,Future Dreams;Purple Saturn Day;Spidertronic;G.Nius;Warlock's Quest,Game Bundle Description;Game Title;Game Title;Game Title;Game Title,Commodore Amiga 500,Commodore Amiga 500,AMIGA,Diskette,Game Bundle,Future Dreams,Purple Saturn Day|Spidertronic|G.Nius|Warlock's Quest,
