object_number,title,title.type,object_name,platform_raw_first,platform_norm,object_name.type,object_category,title_primary,alt_titles,accessory_type
79,Super Metroid;Metroid 3,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Super Metroid,Metroid 3,
80,The Legend of Zelda A Link To The Past;Zelda 3,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,The Legend of Zelda A Link To The Past,Zelda 3,
81,Lagoon,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Lagoon,,
83,The Lost Vikings,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,The Lost Vikings,,soundtrack
85,Terranigma,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Terranigma,,
86,Equinox,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Equinox,,
87,Prince of Persia,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Prince of Persia,,
88,Actraiser,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Actraiser,,
91,Secret of Mana,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Secret of Mana,,
93,Illusion of Time,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Illusion of Time,,
94,Soul Blazer,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Soul Blazer,,
1798,Super Star Wars Return of the Jedi,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Super Star Wars Return of the Jedi,,
1800,The Blues Brothers,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,The Blues Brothers,,
1802,Total Carnage,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Total Carnage,,
1803,Lucky Luke,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Lucky Luke,,
1804,Jurassic Park,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Jurassic Park,,
1805,Mystic Quest Legend;Final Fantasy Mystic Quest;Final Fantasy USA Mystic Quest,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Mystic Quest Legend,Final Fantasy Mystic Quest|Final Fantasy USA Mystic Quest,
1806,Wolverine Adamantium Rage,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Wolverine Adamantium Rage,,
1807,Super Goal!;Goal!;Super Cup Soccer,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Super Goal!,Goal!|Super Cup Soccer,
1810,Aguri Suzuki F-1 Super Driving;Aguri Suzuki F1 Super Driving;F-1 Aguri Suzuki Super Driving;Redline F-1 Racer;Redline F1 Racer;Suzuki Aguri no F-1 Super Driving,Game Title;Game Title Alternative;Game Title Alternative;Game Title Alternative;Game Title Alternative;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Aguri Suzuki F-1 Super Driving,Aguri Suzuki F1 Super Driving|F-1 Aguri Suzuki Super Driving|Redline F-1 Racer|Redline F1 Racer|Suzuki Aguri no F-1 Super Driving,
1811,Super Adventure Island,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Super Adventure Island,,
1813,NBA All-Star Challenge,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,NBA All-Star Challenge,,
1815,Zoop,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Zoop,,
1816,Art of Fighting,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Art of Fighting,,
1818,Mickey Mania;Mickey Mania The Timeless Adventures of Mickey Mouse,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Mickey Mania,Mickey Mania The Timeless Adventures of Mickey Mouse,
1819,Yogi Bear's Cartoon Capers;Yogi Bear;Adventures of Yogi Bear,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Yogi Bear's Cartoon Capers,Yogi Bear|Adventures of Yogi Bear,
1821,Cutthroat Island,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Cutthroat Island,,
1822,Vortex,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Vortex,,
1824,Archer Maclean's Super Dropzone;Super Dropzone,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Archer Maclean's Super Dropzone,Super Dropzone,
1825,Killer Instinct,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Killer Instinct,,
1828,Wario's Woods,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Wario's Woods,,
1829,Kevin Keegan's Player Manager,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Kevin Keegan's Player Manager,,
1830,SimCity,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,SimCity,,
1831,Pac-Man 2 The New Adventures,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Pac-Man 2 The New Adventures,,
1832,Unirally;Uniracers,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Unirally,Uniracers,
1833,Astérix & Obelix;Asterix and Obelix,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Astérix & Obelix,Asterix and Obelix,
1834,Populous,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Populous,,
1835,Plok,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Plok,,
1836,Pac-Attack;Cosmo Gang the Puzzle,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Pac-Attack,Cosmo Gang the Puzzle,
1837,Kuifje in Tibet;Tintin in Tibet,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Kuifje in Tibet,Tintin in Tibet,
1838,Looney Tunes Road Runner;Road Runner's Death Valley Rally;Road Runner vs. Wile E. Coyote,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Looney Tunes Road Runner,Road Runner's Death Valley Rally|Road Runner vs. Wile E. Coyote,
1839,Eric Cantona Football Challenge;Striker;World Soccer '94 Road to Glory;World Soccer,Game Title;Game Title Alternative;Game Title Alternative;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Eric Cantona Football Challenge,Striker|World Soccer '94 Road to Glory|World Soccer,
1840,Super Hockey;NHL Stanley Cup,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Super Hockey,NHL Stanley Cup,
1841,Super Tennis;Super Tennis World Circuit,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Super Tennis,Super Tennis World Circuit,
1842,The Incredible Hulk,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,The Incredible Hulk,,
1843,Nigel Mansell's World Championship;Nigel Mansell's World Championship Racing;Nigel Mansell's F-1 Challenge,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Nigel Mansell's World Championship,Nigel Mansell's World Championship Racing|Nigel Mansell's F-1 Challenge,
1844,Super Mario World,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Super Mario World,,
1845,Winter Olympics;Winter Olympics Lillehammer '94;Winter Olympic Games Lillehammer '94,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Winter Olympics,Winter Olympics Lillehammer '94|Winter Olympic Games Lillehammer '94,
