object_number,platform_raw_first,platform_norm,title_primary,alt_titles,title_norm,title_norm_source,title_aliases
1837,Nintendo Super Nintendo Entertainment System,SNES,Kuifje in Tibet,Tintin in Tibet,Kuifje in Tibet,primary_ascii,Tintin in Tibet
1839,Nintendo Super Nintendo Entertainment System,SNES,Eric Cantona Football Challenge,Striker|World Soccer '94 Road to Glory|World Soccer,Eric Cantona Football Challenge,primary_ascii,Striker|World Soccer '94 Road to Glory|World Soccer
1851,Nintendo Super Nintendo Entertainment System,SNES,Champions World Class Endorsed by PSG,Champions World Class Endorsed by Paris Saint-Germain|Champions World Class Soccer|PSG Champions World Class Soccer|Champions World Class Soccer PSG,Champions World Class Endorsed by PSG,primary_ascii,Champions World Class Endorsed by Paris Saint-Germain|Champions World Class Soccer|PSG Champions World Class Soccer|Champions World Class Soccer PSG
1878,Nintendo Super Nintendo Entertainment System,SNES,Les Schtroumpfs autour du monde,De Smurfen Verkennen de wereld|The Smurfs Travel the World,Les Schtroumpfs autour du monde,primary_ascii,De Smurfen Verkennen de wereld|The Smurfs Travel the World
8979,Nintendo Super Famicom,SFC,The Hunt For Red October,レッド オクトーバー|レッド・オクトーバー,The Hunt For Red October,primary_ascii,レッド オクトーバー|レッド・オクトーバー
8980,Nintendo Super Famicom,SFC,Treasure Hunter G,トレジャーハンターG,Treasure Hunter G,primary_ascii,トレジャーハンターG
8981,Nintendo Super Famicom,SFC,Mouryou Senki Madara 2,魍魎戦記 Mandara 2|魍魎戦記 マダラ 2,Mouryou Senki Madara 2,primary_ascii,魍魎戦記 Mandara 2|魍魎戦記 マダラ 2
8982,Nintendo Super Famicom,SFC,GP-1 Rapid Stream,ＧＰ－１ ラピッドストリーム|GP1 Rapid Stream|GP-1 Part II|GP-1 Part 2,GP-1 Rapid Stream,primary_ascii,ＧＰ－１ ラピッドストリーム|GP1 Rapid Stream|GP-1 Part II|GP-1 Part 2
8984,Nintendo Super Famicom,SFC,Super F1 Circus 2,スーパー エフワン サーカス2|Super F-1 Circus 2,Super F1 Circus 2,primary_ascii,スーパー エフワン サーカス2|Super F-1 Circus 2
8985,Nintendo Super Famicom,SFC,Angelique,アンジェリーク,Angelique,primary_ascii,アンジェリーク
8988,Nintendo Super Famicom,SFC,Super Pinball Behind The Mask,スーパー・ピンボール ビハインド・ザ・マスク,Super Pinball Behind The Mask,primary_ascii,スーパー・ピンボール ビハインド・ザ・マスク
8989,Nintendo Super Famicom,SFC,Mario & Wario,マリオとワリオ|Mario and Wario,Mario & Wario,primary_ascii,マリオとワリオ|Mario and Wario
9001,Nintendo Super Famicom,SFC,Doraemon 3 Nobita to Toki no Hougyoku,ドラえもん3 のび太と時の宝玉|Doraemon 3 Nobita to Toki no Hogyoku,Doraemon 3 Nobita to Toki no Hougyoku,primary_ascii,ドラえもん3 のび太と時の宝玉|Doraemon 3 Nobita to Toki no Hogyoku
9004,Nintendo Super Famicom,SFC,NHL Pro Hockey '94,NHLプロホッケー'94|NHL Pro Hockey 94,NHL Pro Hockey '94,primary_ascii,NHLプロホッケー'94|NHL Pro Hockey 94
9005,Nintendo Super Famicom,SFC,Emerald Dragon,エメラルドドラゴン|Emerald Dragon ED,Emerald Dragon,primary_ascii,エメラルドドラゴン|Emerald Dragon ED
9006,Nintendo Super Famicom,SFC,Street Fighter II,ストリートファイターII|Street Fighter 2 The World Warrior|Street Fighter II The World Warrior,Street Fighter II,primary_ascii,ストリートファイターII|Street Fighter 2 The World Warrior|Street Fighter II The World Warrior
9007,Nintendo Super Famicom,SFC,Chou Makai Taisen! Dorabocchan,超魔界大戦! どらぼっちゃん|Chou Makai Taisen! Dorabot-chan|Chou Makai Taisen! Doraboc Chan|Chou Makai Taisen! Dorabotchan,Chou Makai Taisen! Dorabocchan,primary_ascii,超魔界大戦! どらぼっちゃん|Chou Makai Taisen! Dorabot-chan|Chou Makai Taisen! Doraboc Chan|Chou Makai Taisen! Dorabotchan
9008,Nintendo Super Famicom,SFC,Dragon Ball Z Super Saiya Densetsu,ドラゴンボールZ スーパー超サイヤ伝説|ドラゴンボールZ 超サイヤ伝説|Dragon Ball Z Chou Saiya Densetsu|Dragon Ball Z Legend of the Super Saiyan,Dragon Ball Z Super Saiya Densetsu,primary_ascii,ドラゴンボールZ スーパー超サイヤ伝説|ドラゴンボールZ 超サイヤ伝説|Dragon Ball Z Chou Saiya Densetsu|Dragon Ball Z Legend of the Super Saiyan
9009,Nintendo Super Famicom,SFC,Natsuki Crisis Battle,なつきクライシスバトル,Natsuki Crisis Battle,primary_ascii,なつきクライシスバトル
9010,Nintendo Super Famicom,SFC,Super Bomberman Panic Bomber W,スーパーボンバーマン ぱにっくボンバーW|スーパーボンバーマン ぱにっくボンバーワールド|Super Bomberman Panic Bomber World,Super Bomberman Panic Bomber W,primary_ascii,スーパーボンバーマン ぱにっくボンバーW|スーパーボンバーマン ぱにっくボンバーワールド|Super Bomberman Panic Bomber World
9011,Nintendo Super Famicom,SFC,Romancing Sa-Ga 3,ロマンシング サ·ガ3|Romancing Sa·Ga 3|Romancing Sa Ga 3|Romancing SaGa 3,Romancing Sa-Ga 3,primary_ascii,ロマンシング サ·ガ3|Romancing Sa·Ga 3|Romancing Sa Ga 3|Romancing SaGa 3
9012,Nintendo Super Famicom,SFC,Bishoujo Senshi Sailor Moon SuperS Fuwa Fuwa Panic,美少女戦士セーラームーンSuperS ふわふわパニック|美少女戦士セーラームーンSuper S ふわふわパニック|Bishoujo Senshi Sailor Moon Super S Fuwa Fuwa Panic,Bishoujo Senshi Sailor Moon SuperS Fuwa Fuwa Panic,primary_ascii,美少女戦士セーラームーンSuperS ふわふわパニック|美少女戦士セーラームーンSuper S ふわふわパニック|Bishoujo Senshi Sailor Moon Super S Fuwa Fuwa Panic
9013,Nintendo Super Famicom,SFC,Super Mario Kart,スーパーマリオカート,Super Mario Kart,primary_ascii,スーパーマリオカート
9014,Nintendo Super Famicom,SFC,Royal Conquest,ロイヤルコンクエスト,Royal Conquest,primary_ascii,ロイヤルコンクエスト
9015,Nintendo Super Famicom,SFC,Ultraman,ウルトラマン,Ultraman,primary_ascii,ウルトラマン
9016,Nintendo Super Famicom,SFC,Mystic Ark,ミスティック・アーク,Mystic Ark,primary_ascii,ミスティック・アーク
9017,Nintendo Super Famicom,SFC,Sim City,シムシティー|SimCity,Sim City,primary_ascii,シムシティー|SimCity
9018,Nintendo Super Famicom,SFC,Ganbare Goemon 3 Shishi Juuroku Hyoue no Karakuri Manjigatame,がんばれゴエモン3 獅子重禄兵衛のからくり卍固め|がんばれゴエモン3 ししじゅうろくひょうえのからくりまんじがため|Ganbare Goemon 3 Shishijūrokubē no Karakuri Manji Gatame,Ganbare Goemon 3 Shishi Juuroku Hyoue no Karakuri Manjigatame,primary_ascii,がんばれゴエモン3 獅子重禄兵衛のからくり卍固め|がんばれゴエモン3 ししじゅうろくひょうえのからくりまんじがため|Ganbare Goemon 3 Shishijūrokubē no Karakuri Manji Gatame
9019,Nintendo Super Famicom,SFC,Captain Tsubasa IV Pro no Rival Tachi,キャプテン翼IV -プロのライバルたち-|Captain Tsubasa IV Pro no Rival-tachi|Captain Tsubasa 4 Pro no Rival Tachi,Captain Tsubasa IV Pro no Rival Tachi,primary_ascii,キャプテン翼IV -プロのライバルたち-|Captain Tsubasa IV Pro no Rival-tachi|Captain Tsubasa 4 Pro no Rival Tachi
9073,Nintendo Super Famicom,SFC,Ganbare Goemon Yukihime Kyuushutsu Emaki,がんばれゴエモン〜ゆき姫救出絵巻〜|Ganbare Goemon Yuki Hime Kyuushutsu Emaki|Ganbare Goemon Yukihime Kyūshutsu Emaki|The Legend of the Mystical Ninja,Ganbare Goemon Yukihime Kyuushutsu Emaki,primary_ascii,がんばれゴエモン〜ゆき姫救出絵巻〜|Ganbare Goemon Yuki Hime Kyuushutsu Emaki|Ganbare Goemon Yukihime Kyūshutsu Emaki|The Legend of the Mystical Ninja
9088,Nintendo Super Famicom,SFC,Elfaria A Fantastic Theater,エルファリア|Elfaria The Isle of the Blest,Elfaria A Fantastic Theater,primary_ascii,エルファリア|Elfaria The Isle of the Blest
9092,Nintendo Super Famicom,SFC,Garou Densetsu Shukumei no Tatakai,餓狼伝説 宿命の闘い|がろうでんせつ|Fatal Fury,Garou Densetsu Shukumei no Tatakai,primary_ascii,餓狼伝説 宿命の闘い|がろうでんせつ|Fatal Fury
9097,Nintendo Super Famicom,SFC,Bishoujo Senshi Sailor Moon S Kondo wa Puzzle de Oshioki yo!!,美少女戦士セーラームーンS こんどはパズルでおしおきよ！！|Bishoujo Senshi Sailor Moon S Kondo ha Puzzle de Oshioki yo!!|Bishoujo Senshi Sailor Moon Super Kondo wa Puzzle de Oshioki yo!!,Bishoujo Senshi Sailor Moon S Kondo wa Puzzle de Oshioki yo!!,primary_ascii,美少女戦士セーラームーンS こんどはパズルでおしおきよ！！|Bishoujo Senshi Sailor Moon S Kondo ha Puzzle de Oshioki yo!!|Bishoujo Senshi Sailor Moon Super Kondo wa Puzzle de Oshioki yo!!
9101,Nintendo Super Famicom,SFC,Super Mahjong Taikai,スーパー麻雀大会,Super Mahjong Taikai,primary_ascii,スーパー麻雀大会
9102,Nintendo Super Famicom,SFC,Super F1 Circus,スーパーエフワン サーカス|Super F-1 Circus,Super F1 Circus,primary_ascii,スーパーエフワン サーカス|Super F-1 Circus
9103,Nintendo Super Famicom,SFC,Suzuka 8 Hours,スズカエイトアワーズ,Suzuka 8 Hours,primary_ascii,スズカエイトアワーズ
9121,Nintendo Super Famicom,SFC,Classic Road II,クラシックロードII|Classic Road 2,Classic Road II,primary_ascii,クラシックロードII|Classic Road 2
9148,Nintendo Super Famicom,SFC,Super 4WD The Baja,スーパ4WDーザ・バハ|スーパ よんグプリユテイー ザ・バハ|Super Off Road The Baja,Super 4WD The Baja,primary_ascii,スーパ4WDーザ・バハ|スーパ よんグプリユテイー ザ・バハ|Super Off Road The Baja
9152,Nintendo Super Famicom,SFC,Jungle Wars 2 Kodai Mahou Atimos no Nazo,ジャングルウォーズ2 古代魔法アティモスの謎,Jungle Wars 2 Kodai Mahou Atimos no Nazo,primary_ascii,ジャングルウォーズ2 古代魔法アティモスの謎
9164,Nintendo Super Famicom,SFC,Hat Trick Hero,ハットトリックヒーロー,Hat Trick Hero,primary_ascii,ハットトリックヒーロー
9171,Nintendo Super Famicom,SFC,Samurai Spirits,侍魂 サムライスピリッツ|Samurai Shodown,Samurai Spirits,primary_ascii,侍魂 サムライスピリッツ|Samurai Shodown
9174,Nintendo Super Famicom,SFC,Romancing Sa-Ga,ロマンシング サ·ガ|Romancing Sa·Ga|Romancing Sa Ga|Romancing SaGa,Romancing Sa-Ga,primary_ascii,ロマンシング サ·ガ|Romancing Sa·Ga|Romancing Sa Ga|Romancing SaGa
9181,Nintendo Super Famicom,SFC,Super Robot Taisen EX,スーパーロボット大戦EX|Super Robot Wars EX,Super Robot Taisen EX,primary_ascii,スーパーロボット大戦EX|Super Robot Wars EX
9182,Nintendo Super Famicom,SFC,Wagyan Paradise,ワギャンパラダイス,Wagyan Paradise,primary_ascii,ワギャンパラダイス
9183,Nintendo Super Famicom,SFC,Super Dunk Star,スーパーダンクスター,Super Dunk Star,primary_ascii,スーパーダンクスター
9186,Nintendo Super Famicom,SFC,Downtown Nekketsu Baseball Monogatari Baseball de Shoubu da! Kunio-kun,ダウンタウン熱血べーすぼーる物語 野球で勝負だ！くにおくん|Downtown Nekketsu Baseball Monogatari Yakyū de Shōbu da! Kunio-kun,Downtown Nekketsu Baseball Monogatari Baseball de Shoubu da! Kunio-kun,primary_ascii,ダウンタウン熱血べーすぼーる物語 野球で勝負だ！くにおくん|Downtown Nekketsu Baseball Monogatari Yakyū de Shōbu da! Kunio-kun
9191,Nintendo Super Famicom,SFC,Tenchi Muyou! Game Hen,天地無用！ げーむ編|Tenchi Muyo! Game Edition,Tenchi Muyou! Game Hen,primary_ascii,天地無用！ げーむ編|Tenchi Muyo! Game Edition
9192,Nintendo Super Famicom,SFC,Densetsu no Ogre Battle,伝説のオウガバトル|でんせつのオウガバトル|Densetsu no Ogre Battle Saga Episode Five The March of the Black Queen|Ogre Battle The March of the Black Queen,Densetsu no Ogre Battle,primary_ascii,伝説のオウガバトル|でんせつのオウガバトル|Densetsu no Ogre Battle Saga Episode Five The March of the Black Queen|Ogre Battle The March of the Black Queen
9193,Nintendo Super Famicom,SFC,Estpolis Denki II,エストポリス伝記II|Estpolis Denki 2|Lufia II Rise of the Sinistrals|Lufia 2 Rise of the Sinistrals,Estpolis Denki II,primary_ascii,エストポリス伝記II|Estpolis Denki 2|Lufia II Rise of the Sinistrals|Lufia 2 Rise of the Sinistrals
9194,Nintendo Super Famicom,SFC,Front Mission,フロントミッション,Front Mission,primary_ascii,フロントミッション
9195,Nintendo Super Famicom,SFC,Dragon Quest I.II,ドラゴンクエストI・II|Dragon Quest 1 & 2|Dragon Quest I·II|Dragon Quest I . II,Dragon Quest I.II,primary_ascii,ドラゴンクエストI・II|Dragon Quest 1 & 2|Dragon Quest I·II|Dragon Quest I . II
9196,Nintendo Super Famicom,SFC,Mini Shiku Shining Scorpion Ready & Go!!,ミニ四駆 シャイニング スコーピオン レッツ＆ゴー！！|Mini Shiku Shining Scorpion Ready Let's and Go!!,Mini Shiku Shining Scorpion Ready & Go!!,primary_ascii,ミニ四駆 シャイニング スコーピオン レッツ＆ゴー！！|Mini Shiku Shining Scorpion Ready Let's and Go!!
9197,Nintendo Super Famicom,SFC,RPG Tsukuru Super Dante,RPGツクール スーパーダンテ,RPG Tsukuru Super Dante,primary_ascii,RPGツクール スーパーダンテ
9198,Nintendo Super Famicom,SFC,David Crane's Amazing Tennis,David Crane's アメージングテニス,David Crane's Amazing Tennis,primary_ascii,David Crane's アメージングテニス
9199,Nintendo Super Famicom,SFC,2020 Super Baseball,2020年 スーパーベースボール|2020 SuperBaseball,2020 Super Baseball,primary_ascii,2020年 スーパーベースボール|2020 SuperBaseball
9201,Nintendo Super Famicom,SFC,Garou Densetsu 2 Aratanaru Tatakai,餓狼伝説2 -新たなる闘い-|餓狼伝説２ ～新たなる闘い～|Fatal Fury 2,Garou Densetsu 2 Aratanaru Tatakai,primary_ascii,餓狼伝説2 -新たなる闘い-|餓狼伝説２ ～新たなる闘い～|Fatal Fury 2
9202,Nintendo Super Famicom,SFC,Tetris Battle Gaiden,テトリスバトル 武闘外伝,Tetris Battle Gaiden,primary_ascii,テトリスバトル 武闘外伝
9203,Nintendo Super Famicom,SFC,Hokuto no Ken 6 Gekitou Denshouken Haou e no Michi,北斗の拳6 激闘伝承拳 覇王への道|Hokuto no Ken 6 Gekitou Denshou Ken Haou heno Michi|Fist of the North Star 6,Hokuto no Ken 6 Gekitou Denshouken Haou e no Michi,primary_ascii,北斗の拳6 激闘伝承拳 覇王への道|Hokuto no Ken 6 Gekitou Denshou Ken Haou heno Michi|Fist of the North Star 6
9204,Nintendo Super Famicom,SFC,F-1 Grand Prix Part III,F1グランプリ パート3|F-1 Grand Prix Part 3|F1 Grand Prix Part III,F-1 Grand Prix Part III,primary_ascii,F1グランプリ パート3|F-1 Grand Prix Part 3|F1 Grand Prix Part III
9206,Nintendo Super Famicom,SFC,Hokuto no Ken 7 Seiken Retsuden Denshousha heno Michi,北斗の拳7 聖拳列伝 伝承者への道|Hokuto no Ken 7 Seiken Retsuden Den Shou Sha he no Michi|Fist of the North Star 7,Hokuto no Ken 7 Seiken Retsuden Denshousha heno Michi,primary_ascii,北斗の拳7 聖拳列伝 伝承者への道|Hokuto no Ken 7 Seiken Retsuden Den Shou Sha he no Michi|Fist of the North Star 7
9207,Nintendo Super Famicom,SFC,Fortune Quest Dice wo Korogase,フォーチュンクエスト ダイスをころがせ,Fortune Quest Dice wo Korogase,primary_ascii,フォーチュンクエスト ダイスをころがせ
9208,Nintendo Super Famicom,SFC,Namco Open,ナムコットオープン,Namco Open,primary_ascii,ナムコットオープン
9210,Nintendo Super Famicom,SFC,3x3 Eyes Sazanaizu Seima Kourinden,3x3 Eyes サザンアイズ 聖魔降臨伝|三只眼 聖魔降臨伝|3 x 3 Eyes Sazanaizu Seima Kourinden,3x3 Eyes Sazanaizu Seima Kourinden,primary_ascii,3x3 Eyes サザンアイズ 聖魔降臨伝|三只眼 聖魔降臨伝|3 x 3 Eyes Sazanaizu Seima Kourinden
9211,Nintendo Super Famicom,SFC,Star Fox,スターフォックス|Starwing,Star Fox,primary_ascii,スターフォックス|Starwing
9212,Nintendo Super Famicom,SFC,Super Famista 2,スーパーファミスタ2,Super Famista 2,primary_ascii,スーパーファミスタ2
9218,Nintendo Super Famicom,SFC,Hiryu no Ken S Hyper Version,ハイパーバージョン 飛龍の拳S|Hiryu no Ken S Golden Fighter Hyper Version,Hiryu no Ken S Hyper Version,primary_ascii,ハイパーバージョン 飛龍の拳S|Hiryu no Ken S Golden Fighter Hyper Version
9220,Nintendo Super Famicom,SFC,Jikkyou World Soccer Perfect Eleven,実況ワールドサッカー パーフェクトイレブン|International Superstar Soccer,Jikkyou World Soccer Perfect Eleven,primary_ascii,実況ワールドサッカー パーフェクトイレブン|International Superstar Soccer
9221,Nintendo Super Famicom,SFC,Hyper Zone,ハイパーゾーン,Hyper Zone,primary_ascii,ハイパーゾーン
9222,Nintendo Super Famicom,SFC,Fighter's History,ファイターズヒストリー,Fighter's History,primary_ascii,ファイターズヒストリー
9223,Nintendo Super Famicom,SFC,Front Mission Gun Hazard,フロントミッションシリーズ ガンハザード,Front Mission Gun Hazard,primary_ascii,フロントミッションシリーズ ガンハザード
9224,Nintendo Super Famicom,SFC,Ace o Nerae!,エースをねらえ！|Aim for the Ace!,Ace o Nerae!,primary_ascii,エースをねらえ！|Aim for the Ace!
9225,Nintendo Super Famicom,SFC,Emerald Dragon,エメラルドドラゴン|Emerald Dragon ED,Emerald Dragon,primary_ascii,エメラルドドラゴン|Emerald Dragon ED
9226,Nintendo Super Famicom,SFC,BattleTech,バトルテック|Mechwarrior,BattleTech,primary_ascii,バトルテック|Mechwarrior
9227,Nintendo Super Famicom,SFC,Super Birdie Rush,スーパーバーディラッシュ,Super Birdie Rush,primary_ascii,スーパーバーディラッシュ
