edition_id,igdb_game_id,gb_game_id,score,note
CAT-00079,,,,no-match
CAT-00080,,,,no-match
CAT-00081,42617,12945,0.900,
CAT-00083,,,,no-match
CAT-00085,9633,13828,0.900,
CAT-00086,329147,13849,0.600,
CAT-00087,,,,no-match
CAT-00088,23597,7274,0.600,
CAT-00091,55092,19507,0.600,
CAT-00093,,,,no-match
CAT-00094,11616,13986,0.900,
CAT-01798,48939,4692,0.900,
CAT-01800,265033,8498,0.825,
CAT-01802,196441,11061,0.600,
CAT-01803,265060,52893,0.600,
CAT-01804,217956,5721,0.600,
CAT-01805,,,,no-match
CAT-01806,207235,12002,0.600,
CAT-01807,,,,no-match
CAT-01810,,,,no-match
CAT-01811,,,,no-match
CAT-01813,49011,13862,0.900,
CAT-01815,,,,no-match
CAT-01816,4514,2760,0.900,
CAT-01818,,,,no-match
CAT-01819,,,,no-match
CAT-01821,7828,15775,0.900,
CAT-01822,210342,9146,0.600,
CAT-01824,,,,no-match
CAT-01825,10354,18484,0.600,
CAT-01828,190013,2582,0.900,
CAT-01829,42618,29480,0.900,
CAT-01830,208990,15035,0.600,
CAT-01831,11603,12294,0.900,
CAT-01832,,,,no-match
CAT-01833,,,,no-match
CAT-01834,353713,6210,0.637,
CAT-01835,28389,4182,0.900,
CAT-01836,,,,no-match
CAT-01837,,,,no-match
CAT-01838,,,,no-match
CAT-01839,,,,no-match
CAT-01840,,,,no-match
CAT-01841,,,,no-match
CAT-01842,368893,10622,0.637,
CAT-01843,,,,no-match
CAT-01844,270346,1334,0.600,
CAT-01845,,,,no-match
CAT-01846,,,,no-match
CAT-01847,,,,no-match
CAT-01848,10162,8853,0.900,
CAT-01849,327781,16767,0.600,
CAT-01850,,,,no-match
CAT-01851,,,,no-match
CAT-01852,,,,no-match
CAT-01853,,,,no-match
CAT-01854,,,,no-match
CAT-01855,,,,no-match
CAT-01856,,,,no-match
CAT-01857,,,,no-match
CAT-01858,45708,19591,0.733,
CAT-01859,228792,20350,0.600,
CAT-01860,,,,no-match
CAT-01861,,,,no-match
CAT-01862,,,,no-match
CAT-01863,,,,no-match
CAT-01864,42456,21668,0.900,
CAT-01865,,,,no-match
CAT-01866,19773,3807,0.900,
CAT-01867,,,,no-match
CAT-01868,42490,6694,0.900,
CAT-01869,262153,5717,0.600,
CAT-01870,,,,no-match
CAT-01871,198845,17563,0.600,
CAT-01872,,,,no-match
CAT-01873,49256,19337,0.600,
CAT-01874,7351,7326,0.600,
CAT-01875,12675,4828,0.900,
CAT-01876,6349,14982,0.900,
CAT-01877,,,,no-match
CAT-01878,,,,no-match
CAT-01879,,,,no-match
CAT-01880,,,,no-match
CAT-01881,,,,no-match
CAT-01882,,,,no-match
CAT-03462,,,,no-match
CAT-08979,14901,2491,0.600,
CAT-08980,,,,no-match
CAT-08981,,,,no-match
CAT-08982,,,,no-match
CAT-08984,,,,no-match
CAT-08985,49447,23452,0.800,
CAT-08988,42455,17398,0.800,
CAT-08989,,,,no-match
CAT-09001,,,,no-match
CAT-09004,,,,no-match
CAT-09005,,,,no-match
CAT-09006,,,,no-match
CAT-09007,,,,no-match
CAT-09008,,,,no-match
CAT-09009,38210,28375,0.800,
CAT-09010,,,,no-match
CAT-09011,,,,no-match
CAT-09012,,,,no-match
CAT-09013,,,,no-match
CAT-09014,,,,no-match
CAT-09015,131387,40740,0.600,
CAT-09016,42484,168,0.800,
CAT-09017,,,,no-match
CAT-09018,,,,no-match
CAT-09019,,,,no-match
CAT-09073,,,,no-match
CAT-09088,,,,no-match
CAT-09092,,,,no-match
CAT-09097,,,,no-match
CAT-09101,37811,38768,0.800,
CAT-09102,,,,no-match
CAT-09103,40451,12299,0.800,
CAT-09121,,,,no-match
CAT-09148,,,,no-match
CAT-09152,,,,no-match
CAT-09164,,,,no-match
CAT-09171,,,,no-match
CAT-09174,,,,no-match
CAT-09181,,,,no-match
CAT-09182,42425,50664,0.800,
CAT-09183,42270,38745,0.800,
CAT-09186,,,,no-match
CAT-09191,,,,no-match
CAT-09192,,,,no-match
CAT-09193,,,,no-match
CAT-09194,1498,6052,0.800,
CAT-09195,,,,no-match
CAT-09196,,,,no-match
CAT-09197,,,,no-match
CAT-09198,,,,no-match
CAT-09199,,,,no-match
CAT-09201,,,,no-match
CAT-09202,38371,30673,0.800,
CAT-09203,,,,no-match
CAT-09204,,,,no-match
CAT-09206,,,,no-match
CAT-09207,42242,46746,0.800,
CAT-09208,84332,28372,0.600,
CAT-09210,,,,no-match
CAT-09211,,,,no-match
CAT-09212,,,,no-match
CAT-09218,,,,no-match
CAT-09220,,,,no-match
CAT-09221,,,,no-match
CAT-09222,8564,10486,0.800,
CAT-09223,1499,7265,0.800,
CAT-09224,,,,no-match
CAT-09225,,,,no-match
CAT-09226,,,,no-match
CAT-09227,37843,40040,0.800,
CAT-09228,,,,no-match
CAT-09229,,,,no-match
CAT-09230,,,,no-match
CAT-09231,,,,no-match
CAT-09232,77634,8375,0.800,
CAT-09233,,,,no-match
CAT-09234,,,,no-match
CAT-09235,,,,no-match
CAT-09242,,,,no-match
CAT-09243,,,,no-match
CAT-09244,,,,no-match
CAT-09245,,,,no-match
CAT-09246,,,,no-match
CAT-09247,,,,no-match
CAT-09248,,,,no-match
CAT-09250,,,,no-match
CAT-09253,,,,no-match
CAT-09256,,,,no-match
CAT-09257,15889,33881,0.800,
CAT-09261,,,,no-match
CAT-09263,,,,no-match
CAT-09267,,,,no-match
CAT-09269,,,,no-match
CAT-09277,,,,no-match
CAT-09283,,,,no-match
CAT-09289,,,,no-match
CAT-09290,213885,10865,0.600,
CAT-09291,,,,no-match
CAT-09305,42406,,0.800,
CAT-09306,,,,no-match
CAT-09307,,,,no-match
CAT-09308,,,,no-match
CAT-09309,,,,no-match
CAT-09310,,,,no-match
CAT-09311,15935,11461,0.800,
CAT-09312,,,,no-match
CAT-09313,,,,no-match
CAT-09314,,,,no-match
CAT-09316,,,,no-match
CAT-09318,,,,no-match
CAT-09321,,,,no-match
CAT-09322,,,,no-match
CAT-09323,15374,4385,0.720,
CAT-09324,,,,no-match
CAT-09326,15843,15117,0.800,
CAT-09328,,,,no-match
CAT-09329,,,,no-match
CAT-09330,42462,8998,0.800,
CAT-09331,,,,no-match
CAT-09358,,,,no-match
CAT-09393,,,,no-match
CAT-09401,38371,30673,0.800,
CAT-09414,,,,no-match
CAT-09421,,,,no-match
CAT-09428,,,,no-match
CAT-09436,,,,no-match
CAT-09447,,,,no-match
CAT-09454,,,,no-match
CAT-09482,,,,no-match
CAT-09498,,,,no-match
CAT-09523,,,,no-match
CAT-09536,,,,no-match
CAT-09553,,,,no-match
CAT-09554,,,,no-match
CAT-09558,,,,no-match
CAT-09569,,,,no-match
CAT-09573,,,,no-match
CAT-09580,,,,no-match
CAT-09766,,,,no-match
CAT-09767,,,,no-match
CAT-09768,,,,no-match
CAT-09769,,,,no-match
CAT-09773,,,,no-match
CAT-09775,,,,no-match
CAT-09777,,,,no-match
CAT-09779,,,,no-match
CAT-09780,42617,12945,0.800,
CAT-09781,,,,no-match
CAT-09786,,,,no-match
CAT-09793,,,,no-match
CAT-09795,,,,no-match
CAT-09796,,,,no-match
CAT-09801,,,,no-match
CAT-09802,,,,no-match
CAT-09804,,,,no-match
CAT-09805,,,,no-match
CAT-09807,,,,no-match
CAT-09809,,,,no-match
CAT-09810,,,,no-match
CAT-09811,,,,no-match
CAT-09813,,,,no-match
CAT-09816,,,,no-match
CAT-09818,,,,no-match
CAT-09819,222820,1791,0.600,
CAT-09820,,,,no-match
CAT-09821,,,,no-match
CAT-09826,,,,no-match
CAT-09831,,,,no-match
CAT-10122,,,,no-match
CAT-10129,,,,no-match
CAT-10155,,,,no-match
CAT-10173,,,,no-match
CAT-10174,,,,no-match
CAT-10175,,,,no-match
CAT-10176,,,,no-match
CAT-10178,,,,no-match
CAT-10180,,,,no-match
CAT-10183,,,,no-match
CAT-10185,,,,no-match
CAT-10186,,,,no-match
CAT-10190,,,,no-match
CAT-10192,,,,no-match
CAT-10196,,,,no-match
CAT-10199,,,,no-match
CAT-10201,,,,no-match
CAT-10205,,,,no-match
CAT-10207,153771,5740,0.800,
CAT-10212,,,,no-match
CAT-10213,,,,no-match
CAT-10216,,,,no-match
CAT-10228,,,,no-match
CAT-10231,,,,no-match
CAT-10236,,,,no-match
CAT-10239,,,,no-match
CAT-10249,,,,no-match
CAT-10254,,,,no-match
CAT-10258,,,,no-match
CAT-10264,,,,no-match
CAT-10270,,,,no-match
CAT-10279,,,,no-match
CAT-10289,,,,no-match
CAT-10293,,,,no-match
CAT-10295,,,,no-match
CAT-10308,,,,no-match
