edition_id,title_primary,platform,region
ED-906BB09247,'96 Zenkoku Koukou Soccer Senshuken,SFC,NTSC-J
ED-917755E79D,2-Hot 2 Handle,AMIGA,UNKNOWN
ED-74C0623979,2020 Nen Super Baseball,SFC,NTSC-J
ED-27C6B84BBB,2020 Super Baseball,SFC,NTSC-J
ED-3C98D10067,240p Test Suite,SNES,NTSC-U
ED-4AF853DEC2,240p Test Suite,SNES,UNKNOWN
ED-D15C96C6AE,3 Jigen Kakutou Ballz,SFC,NTSC-J
ED-3D8E06E16A,3x3 Eyes Sazanaizu Jyumahoukan,SFC,NTSC-J
ED-E1CBE4E89C,3x3 Eyes Sazanaizu Seima Kourinden,SFC,NTSC-J
ED-728F3F91FD,3×3 Eyes Seima Kourinden,SFC,NTSC-J
ED-9B2E1FB38B,4 Nin Shougi,SFC,NTSC-J
ED-E50193C31E,46 Okunen Monogatari Harukanaru Eden he,SFC,NTSC-J
ED-A82EFFE960,ABC Monday Night Football,SFC,NTSC-J
ED-EB159D6520,AIII S.V. - A Ressha de Ikou 3 Super Version,SFC,NTSC-J
ED-A9C849C384,AIII S.V. A Ressha de Ikou 3 Super Version,SFC,NTSC-J
ED-6BA9D6F533,"ASCII Super Advantage, Arcade controller",SNES,PAL
ED-889DCC0CE7,"ASCII Super Advantage, Arcade controller",SNES,UNKNOWN
ED-BE7B116A15,Aaahh!!! Real Monsters,SNES,PAL
ED-D421DE509C,Aaahh!!! Real Monsters,SNES,UNKNOWN
ED-227B81D68D,Accele Brid,SFC,NTSC-J
ED-614023D46A,Ace o Nerae!,SFC,NTSC-J
ED-9259F4F83E,Acrobat Mission,SFC,NTSC-J
ED-F8E6B83A92,ActRaiser,SFC,NTSC-J
ED-DC875DFDEC,ActRaiser 2,SNES,NTSC-U
ED-9C798A0DBC,ActRaiser 2,SNES,UNKNOWN
ED-832952EBF5,ActRaiser 2 Chinmoku heno Seisen,SFC,NTSC-J
ED-509D6FB7E0,Action Pachio,SFC,NTSC-J
ED-FD986741DC,Actraiser,SNES,PAL
