"edition_id","title_primary","platform"
"CAT-00079","Super Metroid;Metroid 3","Nintendo Super Nintendo Entertainment System"
"CAT-00080","The Legend of Zelda A Link To The Past;Zelda 3","Nintendo Super Nintendo Entertainment System"
"CAT-00081","Lagoon","Nintendo Super Nintendo Entertainment System"
"CAT-00083","The Lost Vikings","Nintendo Super Nintendo Entertainment System"
"CAT-00085","Terranigma","Nintendo Super Nintendo Entertainment System"
"CAT-00086","Equinox","Nintendo Super Nintendo Entertainment System"
"CAT-00087","Prince of Persia","Nintendo Super Nintendo Entertainment System"
"CAT-00088","Actraiser","Nintendo Super Nintendo Entertainment System"
"CAT-00091","Secret of Mana","Nintendo Super Nintendo Entertainment System"
"CAT-00093","Illusion of Time","Nintendo Super Nintendo Entertainment System"
"CAT-00094","Soul Blazer","Nintendo Super Nintendo Entertainment System"
"CAT-01798","Super Star Wars Return of the Jedi","Nintendo Super Nintendo Entertainment System"
"CAT-01800","The Blues Brothers","Nintendo Super Nintendo Entertainment System"
"CAT-01802","Total Carnage","Nintendo Super Nintendo Entertainment System"
"CAT-01803","Lucky Luke","Nintendo Super Nintendo Entertainment System"
"CAT-01804","Jurassic Park","Nintendo Super Nintendo Entertainment System"
"CAT-01805","Mystic Quest Legend;Final Fantasy Mystic Quest;Final Fantasy USA Mystic Quest","Nintendo Super Nintendo Entertainment System"
"CAT-01806","Wolverine Adamantium Rage","Nintendo Super Nintendo Entertainment System"
"CAT-01807","Super Goal!;Goal!;Super Cup Soccer","Nintendo Super Nintendo Entertainment System"
"CAT-01810","Aguri Suzuki F-1 Super Driving;Aguri Suzuki F1 Super Driving;F-1 Aguri Suzuki Super Driving;Redline F-1 Racer;Redline F1 Racer;Suzuki Aguri no F-1 Super Driving","Nintendo Super Nintendo Entertainment System"
"CAT-01811","Super Adventure Island","Nintendo Super Nintendo Entertainment System"
"CAT-01813","NBA All-Star Challenge","Nintendo Super Nintendo Entertainment System"
"CAT-01815","Zoop","Nintendo Super Nintendo Entertainment System"
"CAT-01816","Art of Fighting","Nintendo Super Nintendo Entertainment System"
"CAT-01818","Mickey Mania;Mickey Mania The Timeless Adventures of Mickey Mouse","Nintendo Super Nintendo Entertainment System"
"CAT-01819","Yogi Bear's Cartoon Capers;Yogi Bear;Adventures of Yogi Bear","Nintendo Super Nintendo Entertainment System"
"CAT-01821","Cutthroat Island","Nintendo Super Nintendo Entertainment System"
"CAT-01822","Vortex","Nintendo Super Nintendo Entertainment System"
"CAT-01824","Archer Maclean's Super Dropzone;Super Dropzone","Nintendo Super Nintendo Entertainment System"
"CAT-01825","Killer Instinct","Nintendo Super Nintendo Entertainment System"
"CAT-01828","Wario's Woods","Nintendo Super Nintendo Entertainment System"
"CAT-01829","Kevin Keegan's Player Manager","Nintendo Super Nintendo Entertainment System"
"CAT-01830","SimCity","Nintendo Super Nintendo Entertainment System"
"CAT-01831","Pac-Man 2 The New Adventures","Nintendo Super Nintendo Entertainment System"
"CAT-01832","Unirally;Uniracers","Nintendo Super Nintendo Entertainment System"
"CAT-01833","Astérix & Obelix;Asterix and Obelix","Nintendo Super Nintendo Entertainment System"
"CAT-01834","Populous","Nintendo Super Nintendo Entertainment System"
"CAT-01835","Plok","Nintendo Super Nintendo Entertainment System"
