"edition_id","title_primary","platform"
"CAT-00081","Lagoon","Nintendo Super Nintendo Entertainment System"
"CAT-00085","Terranigma","Nintendo Super Nintendo Entertainment System"
"CAT-00086","Equinox","Nintendo Super Nintendo Entertainment System"
"CAT-00088","Actraiser","Nintendo Super Nintendo Entertainment System"
"CAT-00091","Secret of Mana","Nintendo Super Nintendo Entertainment System"
"CAT-00094","Soul Blazer","Nintendo Super Nintendo Entertainment System"
"CAT-01798","Super Star Wars Return of the Jedi","Nintendo Super Nintendo Entertainment System"
"CAT-01800","The Blues Brothers","Nintendo Super Nintendo Entertainment System"
"CAT-01802","Total Carnage","Nintendo Super Nintendo Entertainment System"
"CAT-01803","Lucky Luke","Nintendo Super Nintendo Entertainment System"
"CAT-01804","Jurassic Park","Nintendo Super Nintendo Entertainment System"
"CAT-01806","Wolverine Adamantium Rage","Nintendo Super Nintendo Entertainment System"
"CAT-01813","NBA All-Star Challenge","Nintendo Super Nintendo Entertainment System"
"CAT-01816","Art of Fighting","Nintendo Super Nintendo Entertainment System"
"CAT-01821","Cutthroat Island","Nintendo Super Nintendo Entertainment System"
"CAT-01822","Vortex","Nintendo Super Nintendo Entertainment System"
"CAT-01825","Killer Instinct","Nintendo Super Nintendo Entertainment System"
"CAT-01828","Wario's Woods","Nintendo Super Nintendo Entertainment System"
"CAT-01829","Kevin Keegan's Player Manager","Nintendo Super Nintendo Entertainment System"
"CAT-01830","SimCity","Nintendo Super Nintendo Entertainment System"
"CAT-01831","Pac-Man 2 The New Adventures","Nintendo Super Nintendo Entertainment System"
"CAT-01834","Populous","Nintendo Super Nintendo Entertainment System"
"CAT-01835","Plok","Nintendo Super Nintendo Entertainment System"
"CAT-01842","The Incredible Hulk","Nintendo Super Nintendo Entertainment System"
"CAT-01844","Super Mario World","Nintendo Super Nintendo Entertainment System"
"CAT-01848","Stargate","Nintendo Super Nintendo Entertainment System"
"CAT-01849","Pushover","Nintendo Super Nintendo Entertainment System"
"CAT-01858","Kick Off 3 European Challenge","Nintendo Super Nintendo Entertainment System"
"CAT-01859","Micro Machines 2 Turbo Tournament","Nintendo Super Nintendo Entertainment System"
"CAT-01864","Super International Cricket","Nintendo Super Nintendo Entertainment System"
"CAT-01866","Warlock","Nintendo Super Nintendo Entertainment System"
