edition_id,title_primary,platform,igdb_id,igdb_name,genres,developers_for_platform,publishers_for_platform,release_date_for_platform,region_for_platform,platforms_all,release_dates_all,cover_url,confidence,source
CAT-00081,Lagoon,Nintendo Super Nintendo Entertainment System,276473,Lagoon,Shooter,,,2008-06-23,,PC (Microsoft Windows),"Jun 23, 2008 <PC (Microsoft Windows)>",,1/2,igdb
CAT-00085,Terranigma,Nintendo Super Nintendo Entertainment System,9633,Terranigma,Role-playing (RPG); Adventure,Quintet,Enix Corporation; Nintendo; St. GIGA,1995-10-11,,Satellaview; Super Nintendo Entertainment System; Super Famicom,"Oct 11, 1995 <Satellaview> | Oct 20, 1995 <Super Famicom> | Dec 19, 1996 <Super Nintendo Entertainment System>",https://images.igdb.com/igdb/image/upload/t_cover_big/co26g4.jpg,1/2,igdb
CAT-00086,Equinox,Nintendo Super Nintendo Entertainment System,203305,Equinox,,,,2022-06-12,,PC (Microsoft Windows),"Jun 12, 2022 <PC (Microsoft Windows)>",https://images.igdb.com/igdb/image/upload/t_cover_big/co5h4b.jpg,1/2,igdb
CAT-00088,Actraiser,Nintendo Super Nintendo Entertainment System,23597,Actraiser,Platform,,Macrospace,2004-09-01,,Legacy Mobile Device,"Sep 01, 2004 <Legacy Mobile Device>",https://images.igdb.com/igdb/image/upload/t_cover_big/co8i5i.jpg,1/2,igdb
CAT-00091,Secret of Mana,Nintendo Super Nintendo Entertainment System,55092,Secret of Mana,Role-playing (RPG); Adventure,Q Studios; Square Enix Business Division 8,Square Enix,2018-02-15,,PlayStation 4; PC (Microsoft Windows); PlayStation Vita,"Feb 15, 2018 <PC (Microsoft Windows)> | Feb 15, 2018 <PlayStation 4> | Feb 15, 2018 <PlayStation Vita>",https://images.igdb.com/igdb/image/upload/t_cover_big/co9a7h.jpg,1/2,igdb
CAT-00094,Soul Blazer,Nintendo Super Nintendo Entertainment System,11616,Soul Blazer,Role-playing (RPG); Adventure,Quintet,Enix Corporation; St. GIGA,1992-01-31,Korea,Satellaview; Super Nintendo Entertainment System; Super Famicom,"Jan 31, 1992 <Super Famicom> | Nov 27, 1992 [Korea] <Super Nintendo Entertainment System> | Jan 27, 1994 <Super Nintendo Entertainment System> | Jan 27, 1994 [Europe] <Super Nintendo Entertainment System> | Jan 27, 1994 [Japan] <Super Nintendo Entertainment System> | TBD <Satellaview>",https://images.igdb.com/igdb/image/upload/t_cover_big/co8kzd.jpg,1/2,igdb
CAT-01798,Super Star Wars Return of the Jedi,Nintendo Super Nintendo Entertainment System,295051,Super Star Wars: Return of the Jedi,Adventure,Sculptured Software,Black Pearl Software,1995-12-31,,Sega Game Gear,1995 <Sega Game Gear>,https://images.igdb.com/igdb/image/upload/t_cover_big/co8jer.jpg,1/0,igdb
CAT-01800,The Blues Brothers,Nintendo Super Nintendo Entertainment System,7792,The Blues Brothers,Platform,Titus France,Titus France; Titus Software,1991-12-31,,Commodore C64/128/MAX; Atari ST/STE; DOS; Amiga; Amstrad CPC,1991 <Amiga> | 1991 <Amstrad CPC> | 1991 <Atari ST/STE> | 1991 <Commodore C64/128/MAX> | 1991 <DOS>,https://images.igdb.com/igdb/image/upload/t_cover_big/co5ago.jpg,1/2,igdb
CAT-01802,Total Carnage,Nintendo Super Nintendo Entertainment System,12868,Total Carnage,Shooter; Arcade,Midway Games,Midway Games,1991-12-31,,Arcade; Amiga CD32; Super Nintendo Entertainment System; DOS; Amiga; Atari Jaguar,1991 <Arcade> | 1994 <Amiga CD32> | 1994 <Amiga> | 1994 <Atari Jaguar> | 1994 <DOS> | 1994 <Super Nintendo Entertainment System>,https://images.igdb.com/igdb/image/upload/t_cover_big/co7qrb.jpg,1/2,igdb
CAT-01803,Lucky Luke,Nintendo Super Nintendo Entertainment System,134833,Lucky Luke,Platform,Infogrames,Nintendo,1996-12-31,,Game Boy,1996 <Game Boy>,https://images.igdb.com/igdb/image/upload/t_cover_big/co5pkv.jpg,1/2,igdb
