object_number,edition_id
1837,ED-A6BD248008
1839,ED-76610E8D3C
1851,ED-787A1EE240
1878,ED-2EAD620E19
8979,ED-35AEE12A8C
8980,ED-B3CA913507
8981,ED-CF06107B98
8982,ED-78FBA8B89A
8984,ED-A3F47A2A36
8985,ED-E06C03F55F
8988,ED-5529D2E113
8989,ED-725CB519C5
9001,ED-3D62072959
9004,ED-0A454D3C37
9005,ED-EA7479C41F
9006,ED-891BD88A10
9007,ED-0A9E3ABA31
9008,ED-34697113EC
9009,ED-D1C7DEF176
9010,ED-1B87EB71DE
9011,ED-99481503CD
9012,ED-D29D7A1806
9013,ED-A500BE2AB8
9014,ED-802AC90466
9015,ED-BB3A07A9D3
9016,ED-C89B04F4DD
9017,ED-C5C7155C41
9018,ED-1043D9CD80
9019,ED-211310F8A1
9073,ED-5203C8F0B5
9088,ED-27B449D13F
9092,ED-2665F08354
9097,ED-925A9D2B33
9101,ED-95F44481AE
9102,ED-7D5B938B10
9103,ED-81C78B61AE
9121,ED-FC4B47C606
9148,ED-8BBB0094E6
9152,ED-05F28891A6
9164,ED-266B0FE77C
9171,ED-3E836AFF6E
9174,ED-8560283577
9181,ED-15D8F1ACE0
9182,ED-69FEDD1334
9183,ED-0B6F10A713
9186,ED-9BB83A6739
9191,ED-0C68EF5811
9192,ED-FB70E5E8A3
9193,ED-F09117AF6E
9194,ED-818D78C95F
9195,ED-B50D60428A
9196,ED-10B866B13C
9197,ED-1294018ED8
9198,ED-1D85191A15
9199,ED-27C6B84BBB
9201,ED-DE5228764F
9202,ED-7738E95DFA
9203,ED-0020A3D616
9204,ED-ED05FAD6BF
9206,ED-307EC22CAE
9207,ED-A7C86D720A
9208,ED-F7734AB8FD
9210,ED-E1CBE4E89C
9211,ED-C2273D0FF7
9212,ED-E4DABB5B1C
9218,ED-0CF87BAFED
9220,ED-646BE802B2
9221,ED-F4F60F0084
9222,ED-D4D17EEA64
9223,ED-19DE3B3D10
9224,ED-614023D46A
9225,ED-EA7479C41F
9226,ED-51453F0C54
9227,ED-1AD8F8F872
9228,ED-5D3279C9FB
9229,ED-6F21B2C865
9230,ED-272A51FD6E
9231,ED-C32D5D669B
9232,ED-D125BE3BEF
9233,ED-EB7AB3D45A
9234,ED-922DCB73A4
9235,ED-A9F96EAF32
9242,ED-5C9A746D7A
9243,ED-0A148BC4E0
