"edition_id","igdb_game_id","gb_game_id","score","note"
"CAT-00081","42617","12945","0.900",""
"CAT-00086","329147","13849","0.600",""
"CAT-00088","23597","7274","0.600",""
"CAT-00091","55092","19507","0.600",""
"CAT-00094","11616","13986","0.900",""
"CAT-01798","48939","4692","0.900",""
"CAT-01800","265033","8498","0.825",""
"CAT-01802","196441","11061","0.600",""
"CAT-01803","265060","52893","0.600",""
"CAT-01804","217956","5721","0.600",""
"CAT-01806","207235","12002","0.600",""
"CAT-01813","49011","13862","0.900",""
"CAT-01816","4514","2760","0.900",""
"CAT-01821","7828","15775","0.900",""
"CAT-01822","210342","9146","0.600",""
"CAT-01825","10354","18484","0.600",""
"CAT-01828","190013","2582","0.900",""
"CAT-01829","42618","29480","0.900",""
"CAT-01830","208990","15035","0.600",""
"CAT-01831","11603","12294","0.900",""
"CAT-01834","353713","6210","0.637",""
"CAT-01835","28389","4182","0.900",""
"CAT-01842","368893","10622","0.637",""
"CAT-01844","270346","1334","0.600",""
"CAT-01848","10162","8853","0.900",""
"CAT-01849","327781","16767","0.600",""
"CAT-01858","45708","19591","0.733",""
"CAT-01859","228792","20350","0.600",""
"CAT-01864","42456","21668","0.900",""
"CAT-01866","19773","3807","0.900",""
"CAT-01868","42490","6694","0.900",""
"CAT-01869","262153","5717","0.600",""
"CAT-01871","198845","17563","0.600",""
"CAT-01873","49256","19337","0.600",""
"CAT-01874","7351","7326","0.600",""
"CAT-01875","12675","4828","0.900",""
"CAT-01876","6349","14982","0.900",""
"CAT-08979","14901","2491","0.600",""
"CAT-08985","49447","23452","0.800",""
"CAT-08988","42455","17398","0.800",""
