object_number,platform_raw_first,platform_norm,title_primary,title_norm,title_norm_source,title_aliases,region_norm,language_norm,media_norm,edition_key,edition_id
1837,Nintendo Super Nintendo Entertainment System,SNES,Kuifje in Tibet,Kuifje in Tibet,primary_ascii,Tintin in Tibet,PAL,nl,cartridge,SNES | Kuifje in Tibet | PAL | nl | cartridge,093fd1cb4a024d34
1839,Nintendo Super Nintendo Entertainment System,SNES,Eric Cantona Football Challenge,Eric Cantona Football Challenge,primary_ascii,Striker|World Soccer '94 Road to Glory|World Soccer,PAL,en,cartridge,SNES | Eric Cantona Football Challenge | PAL | en | cartridge,0cd5e524b47dd73e
1851,Nintendo Super Nintendo Entertainment System,SNES,Champions World Class Endorsed by PSG,Champions World Class Endorsed by PSG,primary_ascii,Champions World Class Endorsed by Paris Saint-Germain|Champions World Class Soccer|PSG Champions World Class Soccer|Champions World Class Soccer PSG,PAL,fr,cartridge,SNES | Champions World Class Endorsed by PSG | PAL | fr | cartridge,5257c0802bc59da8
1878,Nintendo Super Nintendo Entertainment System,SNES,Les Schtroumpfs autour du monde,Les Schtroumpfs autour du monde,primary_ascii,De Smurfen Verkennen de wereld|The Smurfs Travel the World,PAL,fr,cartridge,SNES | Les Schtroumpfs autour du monde | PAL | fr | cartridge,75b0a2900c963378
8979,Nintendo Super Famicom,SFC,The Hunt For Red October,The Hunt For Red October,primary_ascii,レッド オクトーバー|レッド・オクトーバー,NTSC-J,ja,cartridge,SFC | The Hunt For Red October | NTSC-J | ja | cartridge,70befeb43f4f21cf
8980,Nintendo Super Famicom,SFC,Treasure Hunter G,Treasure Hunter G,primary_ascii,トレジャーハンターG,NTSC-J,ja,cartridge,SFC | Treasure Hunter G | NTSC-J | ja | cartridge,559f8d3418232110
8981,Nintendo Super Famicom,SFC,Mouryou Senki Madara 2,Mouryou Senki Madara 2,primary_ascii,魍魎戦記 Mandara 2|魍魎戦記 マダラ 2,NTSC-J,ja,cartridge,SFC | Mouryou Senki Madara 2 | NTSC-J | ja | cartridge,99f26d02b16e53cb
8982,Nintendo Super Famicom,SFC,GP-1 Rapid Stream,GP-1 Rapid Stream,primary_ascii,ＧＰ－１ ラピッドストリーム|GP1 Rapid Stream|GP-1 Part II|GP-1 Part 2,NTSC-J,ja,cartridge,SFC | GP-1 Rapid Stream | NTSC-J | ja | cartridge,687e5015263e8c22
8984,Nintendo Super Famicom,SFC,Super F1 Circus 2,Super F1 Circus 2,primary_ascii,スーパー エフワン サーカス2|Super F-1 Circus 2,NTSC-J,ja,cartridge,SFC | Super F1 Circus 2 | NTSC-J | ja | cartridge,91be07fe51ec3856
8985,Nintendo Super Famicom,SFC,Angelique,Angelique,primary_ascii,アンジェリーク,NTSC-J,ja,cartridge,SFC | Angelique | NTSC-J | ja | cartridge,7bf1e0b2eadd70a6
