object_id,parent_object,source_object,title_primary,platform_norm,object_category,is_virtual_child
1837,,1837,Kuifje in Tibet,SNES,Game,False
1839,,1839,Eric Cantona Football Challenge,SNES,Game,False
1851,,1851,Champions World Class Endorsed by PSG,SNES,Game,False
1878,,1878,Les Schtroumpfs autour du monde,SNES,Game,False
8979,,8979,The Hunt For Red October,SFC,Game,False
8980,,8980,Treasure Hunter G,SFC,Game,False
8981,,8981,Mouryou Senki Madara 2,SFC,Game,False
8982,,8982,GP-1 Rapid Stream,SFC,Game,False
8984,,8984,Super F1 Circus 2,SFC,Game,False
8985,,8985,Angelique,SFC,Game,False
8988,,8988,Super Pinball Behind The Mask,SFC,Game,False
8989,,8989,Mario & Wario,SFC,Game,False
9001,,9001,Doraemon 3 Nobita to Toki no Hougyoku,SFC,Game,False
9004,,9004,NHL Pro Hockey '94,SFC,Game,False
9005,,9005,Emerald Dragon,SFC,Game,False
9006,,9006,Street Fighter II,SFC,Game,False
9007,,9007,Chou Makai Taisen! Dorabocchan,SFC,Game,False
9008,,9008,Dragon Ball Z Super Saiya Densetsu,SFC,Game,False
9009,,9009,Natsuki Crisis Battle,SFC,Game,False
9010,,9010,Super Bomberman Panic Bomber W,SFC,Game,False
9011,,9011,Romancing Sa-Ga 3,SFC,Game,False
9012,,9012,Bishoujo Senshi Sailor Moon SuperS Fuwa Fuwa Panic,SFC,Game,False
9013,,9013,Super Mario Kart,SFC,Game,False
9014,,9014,Royal Conquest,SFC,Game,False
9015,,9015,Ultraman,SFC,Game,False
9016,,9016,Mystic Ark,SFC,Game,False
9017,,9017,Sim City,SFC,Game,False
9018,,9018,Ganbare Goemon 3 Shishi Juuroku Hyoue no Karakuri Manjigatame,SFC,Game,False
9019,,9019,Captain Tsubasa IV Pro no Rival Tachi,SFC,Game,False
9073,,9073,Ganbare Goemon Yukihime Kyuushutsu Emaki,SFC,Game,False
9088,,9088,Elfaria A Fantastic Theater,SFC,Game,False
9092,,9092,Garou Densetsu Shukumei no Tatakai,SFC,Game,False
9097,,9097,Bishoujo Senshi Sailor Moon S Kondo wa Puzzle de Oshioki yo!!,SFC,Game,False
9101,,9101,Super Mahjong Taikai,SFC,Game,False
9102,,9102,Super F1 Circus,SFC,Game,False
9103,,9103,Suzuka 8 Hours,SFC,Game,False
9121,,9121,Classic Road II,SFC,Game,False
9148,,9148,Super 4WD The Baja,SFC,Game,False
9152,,9152,Jungle Wars 2 Kodai Mahou Atimos no Nazo,SFC,Game,False
9164,,9164,Hat Trick Hero,SFC,Game,False
9171,,9171,Samurai Spirits,SFC,Game,False
9174,,9174,Romancing Sa-Ga,SFC,Game,False
9181,,9181,Super Robot Taisen EX,SFC,Game,False
9182,,9182,Wagyan Paradise,SFC,Game,False
9183,,9183,Super Dunk Star,SFC,Game,False
9186,,9186,Downtown Nekketsu Baseball Monogatari Baseball de Shoubu da! Kunio-kun,SFC,Game,False
9191,,9191,Tenchi Muyou! Game Hen,SFC,Game,False
9192,,9192,Densetsu no Ogre Battle,SFC,Game,False
9193,,9193,Estpolis Denki II,SFC,Game,False
9194,,9194,Front Mission,SFC,Game,False
9195,,9195,Dragon Quest I.II,SFC,Game,False
9196,,9196,Mini Shiku Shining Scorpion Ready & Go!!,SFC,Game,False
9197,,9197,RPG Tsukuru Super Dante,SFC,Game,False
9198,,9198,David Crane's Amazing Tennis,SFC,Game,False
9199,,9199,2020 Super Baseball,SFC,Game,False
9201,,9201,Garou Densetsu 2 Aratanaru Tatakai,SFC,Game,False
9202,,9202,Tetris Battle Gaiden,SFC,Game,False
9203,,9203,Hokuto no Ken 6 Gekitou Denshouken Haou e no Michi,SFC,Game,False
9204,,9204,F-1 Grand Prix Part III,SFC,Game,False
9206,,9206,Hokuto no Ken 7 Seiken Retsuden Denshousha heno Michi,SFC,Game,False
9207,,9207,Fortune Quest Dice wo Korogase,SFC,Game,False
9208,,9208,Namco Open,SFC,Game,False
9210,,9210,3x3 Eyes Sazanaizu Seima Kourinden,SFC,Game,False
9211,,9211,Star Fox,SFC,Game,False
9212,,9212,Super Famista 2,SFC,Game,False
9218,,9218,Hiryu no Ken S Hyper Version,SFC,Game,False
9220,,9220,Jikkyou World Soccer Perfect Eleven,SFC,Game,False
9221,,9221,Hyper Zone,SFC,Game,False
9222,,9222,Fighter's History,SFC,Game,False
9223,,9223,Front Mission Gun Hazard,SFC,Game,False
9224,,9224,Ace o Nerae!,SFC,Game,False
9225,,9225,Emerald Dragon,SFC,Game,False
9226,,9226,BattleTech,SFC,Game,False
9227,,9227,Super Birdie Rush,SFC,Game,False
9228,,9228,Dragon Quest III Soshite Densetsu he...,SFC,Game,False
9229,,9229,Magic Knight Rayearth Mahou Kishi,SFC,Game,False
9230,,9230,CB Chara Wars Ushinawareta Gag,SFC,Game,False
9231,,9231,Ashita no Joe,SFC,Game,False
9232,,9232,Der Langrisser,SFC,Game,False
9233,,9233,SD Kidou Senshi Gundam 2,SFC,Game,False
9234,,9234,Rockman X2,SFC,Game,False
9235,,9235,Rockman X,SFC,Game,False
9242,,9242,SD The Great Battle Aratanaru Chousen,SFC,Game,False
9243,,9243,Kaizou Shubibinman Zero,SFC,Game,False
9244,,9244,Dragon Slayer Eiyuu Densetsu,SFC,Game,False
9245,,9245,Bike Daisuki! Hashiriya Tamashii Rider's-Spirits,SFC,Game,False
9246,,9246,Heracles no Eikou III Kamigami no Chinmoku,SFC,Game,False
9247,,9247,Tiny Toon Adventures,SFC,Game,False
9248,,9248,NBA Jam T.E. Tournament Edition,SFC,Game,False
9250,,9250,Super Bomberman 4,SFC,Game,False
9256,,9256,King of the Monsters,SFC,Game,False
9257,,9257,Albert Odyssey,SFC,Game,False
9261,,9261,Nintama Rantarou 2,SFC,Game,False
9263,,9263,Estpolis Denki II,SFC,Game,False
9267,,9267,Final Fantasy USA Mystic Quest,SFC,Game,False
9269,,9269,Dragon Quest VI Maboroshi no Daichi,SFC,Game,False
9277,,9277,Tecmo Super NBA Basketball,SFC,Game,False
9283,,9283,Doraemon Nobita to Yousei no Kuni,SFC,Game,False
9289,,9289,Cameltry,SFC,Game,False
9290,,9290,Syndicate,SFC,Game,False
9291,,9291,Super Volley II,SFC,Game,False
9305,,9305,Super Puyo Puyo,SFC,Game,False
9306,,9306,Feda The Emblem Of Justice,SFC,Game,False
9307,,9307,Mother 2 Gyiyg no Gyakushuu,SFC,Game,False
9308,,9308,ActRaiser,SFC,Game,False
9309,,9309,King of the Monsters 2 The Next Thing,SFC,Game,False
9310,,9310,Bakukyu Rennpatsu!! Super B-Daman,SFC,Game,False
9311,,9311,Nekketsu Tairiku Burning Heroes,SFC,Game,False
9312,,9312,2020 Super Baseball,SFC,Game,False
9313,,9313,Super Tetris 3,SFC,Game,False
9314,,9314,Aqutallion,SFC,Game,False
