title_primary,platform,size
Wild Guns,SNES,2
"ASCII Super Advantage, Arcade controller",SNES,1
World Cup Striker,SNES,1
WWF Super Wrestlemania,SNES,1
WWF Wrestlemania The Arcade Game,SNES,1
Wario's Woods,SNES,1
Warlock,SNES,1
Warlock's Quest,AMIGA,1
"Wild Things Energiser, Controller",SNES,1
Williams Arcade's Greatest Hits,SNES,1
Wimbledon,MD,1
Wing Commander,SNES,1
Winter Gold,SNES,1
Winter Olympics,SNES,1
Winter Olympics Lillehammer '94,SNES,1
Winter Olympics Lillehammer 94,SNES,1
240p Test Suite,SNES,1
Assassin's Creed Bloodlines,PS,1
Assault Suits Valken,SNES,1
Astérix,SNES,1
