release_id,edition_id,title_primary,platform,country,language,release_date
RL-002778E60B,ED-4AF853DEC2,240p Test Suite,SNES,UNK,xx,
RL-4004C40E32,ED-3C98D10067,240p Test Suite,SNES,US,xx,
RL-D993F6E933,ED-6BA9D6F533,"ASCII Super Advantage, Arcade controller",SNES,EU,xx,
RL-E71CF9D07C,ED-889DCC0CE7,"ASCII Super Advantage, Arcade controller",SNES,UNK,xx,
RL-550C6ECA54,ED-BE7B116A15,Aaahh!!! Real Monsters,SNES,EU,xx,
RL-AFF61CCC9B,ED-D421DE509C,Aaahh!!! Real Monsters,SNES,UNK,xx,
RL-4C31FD247A,ED-9C798A0DBC,ActRaiser 2,SNES,UNK,xx,
RL-90613AEC0B,ED-DC875DFDEC,ActRaiser 2,SNES,US,xx,
RL-D4BEF9498E,ED-FDCB5C2C2E,Actraiser,SNES,UNK,xx,
RL-9C60544B6D,ED-407F7C78B2,Addams Family Values,SNES,UNK,xx,
RL-BE626BE8E3,ED-D814C3FB44,Aero the Acro-Bat,SNES,EU,xx,
RL-F45068D60D,ED-2D3EB4ACD1,Aero the Acro-Bat,SNES,UNK,xx,
RL-360F561F96,ED-5CDBC03509,After Burner,AMIGA,US,xx,
RL-2EF9C2B006,ED-48435C0FDF,Aguri Suzuki F-1 Super Driving,SNES,GB,xx,
RL-3B02C0581C,ED-B7C4DC0FCB,Aguri Suzuki F1 Super Driving,SNES,GB,xx,
RL-74C53BCFA1,ED-F9149F3A5E,Aguri Suzuki F1 Super Driving,SNES,GB,xx,
RL-1ED63E9CDC,ED-5407FFAB1C,"Alfa Data OMM-MT Mouse for Amiga, Atari",AMIGA,UNK,xx,
RL-B5A1BBEE99,ED-5EC2E8846D,Alien 3,SNES,EU,xx,
RL-64D7919EB9,ED-99882E7047,Alien 3,SNES,UNK,xx,
RL-EE4CC3A91F,ED-3B23936F59,Alien 3,SNES,US,xx,
RL-460C660EFC,ED-6E234A371B,Ambrosia RC AeroChopper Controller,AMIGA,UNK,xx,
RL-60CEF18B1D,ED-3982877A3E,Amiga 2000,AMIGA,UNK,xx,
RL-871FD72B73,ED-AF8F9A1DE6,"Amiga 500, Special Badge, European Computer of the Year Award",AMIGA,EU,xx,
RL-7C2A78695C,ED-A100A27BDA,Another World,SNES,UNK,xx,
RL-E68AF91C50,ED-1FA24A3D18,Archer Maclean's Super Dropzone,SNES,EU,xx,
