edition_id,title_primary,platform,country,language,release_date,source_object
ED-906BB09247,'96 Zenkoku Koukou Soccer Senshuken,SFC,GB,ja,,34723
ED-906BB09247,'96 Zenkoku Koukou Soccer Senshuken,SFC,JP,ja,,34723
ED-74C0623979,2020 Nen Super Baseball,SFC,JP,ja,,20521
ED-27C6B84BBB,2020 Super Baseball,SFC,JP,ja,,9199
ED-27C6B84BBB,2020 Super Baseball,SFC,JP,ja,,9312
ED-4AF853DEC2,240p Test Suite,SNES,UNK,xx,,301596
ED-3C98D10067,240p Test Suite,SNES,US,xx,,301596
ED-D15C96C6AE,3 Jigen Kakutou Ballz,SFC,JP,ja,,22859
ED-3D8E06E16A,3x3 Eyes Sazanaizu Jyumahoukan,SFC,GB,ja,,34437
ED-3D8E06E16A,3x3 Eyes Sazanaizu Jyumahoukan,SFC,JP,ja,,34437
ED-E1CBE4E89C,3x3 Eyes Sazanaizu Seima Kourinden,SFC,JP,ja,,9210
ED-E1CBE4E89C,3x3 Eyes Sazanaizu Seima Kourinden,SFC,JP,ja,,9436
ED-728F3F91FD,3×3 Eyes Seima Kourinden,SFC,JP,ja,,19491
ED-9B2E1FB38B,4 Nin Shougi,SFC,JP,ja,,34715
ED-E50193C31E,46 Okunen Monogatari Harukanaru Eden he,SFC,GB,ja,,35516
ED-E50193C31E,46 Okunen Monogatari Harukanaru Eden he,SFC,JP,ja,,35516
ED-A82EFFE960,ABC Monday Night Football,SFC,JP,ja,,19495
ED-EB159D6520,AIII S.V. - A Ressha de Ikou 3 Super Version,SFC,JP,ja,,59753
ED-A9C849C384,AIII S.V. A Ressha de Ikou 3 Super Version,SFC,JP,ja,,34712
ED-6BA9D6F533,"ASCII Super Advantage, Arcade controller",SNES,EU,xx,,63797
ED-6BA9D6F533,"ASCII Super Advantage, Arcade controller",SNES,EU,xx,,61175
ED-889DCC0CE7,"ASCII Super Advantage, Arcade controller",SNES,UNK,xx,,61175
ED-889DCC0CE7,"ASCII Super Advantage, Arcade controller",SNES,UNK,xx,,63797
ED-BE7B116A15,Aaahh!!! Real Monsters,SNES,EU,xx,,40592
ED-D421DE509C,Aaahh!!! Real Monsters,SNES,UNK,xx,,40592
ED-227B81D68D,Accele Brid,SFC,JP,ja,,20371
ED-614023D46A,Ace o Nerae!,SFC,JP,ja,,9224
ED-614023D46A,Ace o Nerae!,SFC,JP,ja,,23906
ED-9259F4F83E,Acrobat Mission,SFC,JP,ja,,35471
ED-F8E6B83A92,ActRaiser,SFC,JP,ja,,9308
ED-F8E6B83A92,ActRaiser,SFC,JP,ja,,10981
ED-F8E6B83A92,ActRaiser,SFC,JP,ja,,36843
ED-9C798A0DBC,ActRaiser 2,SNES,UNK,xx,,37956
ED-DC875DFDEC,ActRaiser 2,SNES,US,xx,,37956
ED-832952EBF5,ActRaiser 2 Chinmoku heno Seisen,SFC,JP,ja,,37020
ED-509D6FB7E0,Action Pachio,SFC,JP,ja,,35410
ED-FD986741DC,Actraiser,SNES,EU,en,,19744
ED-FD986741DC,Actraiser,SNES,EU,en,,88
ED-FDCB5C2C2E,Actraiser,SNES,UNK,xx,,88
ED-FDCB5C2C2E,Actraiser,SNES,UNK,xx,,19744
ED-36A0C92680,Addams Family Values,SNES,EU,en,,19759
ED-407F7C78B2,Addams Family Values,SNES,UNK,xx,,19759
ED-06D8B00CA6,Advanced Dungeons & Dragons Eye of the Beholder,SFC,JP,ja,,38615
ED-D814C3FB44,Aero the Acro-Bat,SNES,EU,en,,1873
ED-D814C3FB44,Aero the Acro-Bat,SNES,EU,xx,,60688
ED-2D3EB4ACD1,Aero the Acro-Bat,SNES,UNK,xx,,1873
ED-2D3EB4ACD1,Aero the Acro-Bat,SNES,UNK,xx,,60688
ED-5CDBC03509,After Burner,AMIGA,US,xx,,29329#2
ED-0796957B17,Aguri Suzuki F-1 Super Driving,SNES,GB,en,,1810
