edition_id,title_primary,platform,igdb_game_id,gb_game_id,genres,developers_for_platform,publishers_for_platform,release_date_for_platform,region_for_platform,platforms_all,release_dates_all,cover_url,primary_source
CAT-42845,Super Battletank 2,Nintendo Super Nintendo Entertainment System,38425,32829,,,,,,,,,igdb
CAT-60684,Lamborghini American Challenge,Nintendo Super Nintendo Entertainment System,27525,45818,,,,,,,,,igdb
CAT-20327,Skyblazer,Nintendo Super Nintendo Entertainment System,42581,6763,,"Ukiyotei Company, Ltd.","989 Studios; Sony Interactive Entertainment America; Sony Music Entertainment (Japan), Inc.",,,,,,igdb
CAT-19814,Street Fighter Alpha 2,Nintendo Super Nintendo Entertainment System,243453,19134,,Capcom,"Capcom; Virgin Interactive Entertainment, Inc.",,,,,,igdb
CAT-42386,Super Battletank 2,Nintendo Super Nintendo Entertainment System,38425,32829,,,,,,,,,igdb
CAT-37942,Mega Man 7,Nintendo Super Nintendo Entertainment System,1720,7391,,,,,,,,,igdb
CAT-55765,Dragon's Earth;ドラゴンズ・アース,Nintendo Super Famicom,42254,46015,,,,,,,,,igdb
CAT-26980,True Lies,Nintendo Super Nintendo Entertainment System,282484,1815,,,,,,,,,igdb
CAT-34429,Theme Park;テーマパーク,Nintendo Super Famicom,23091,6562,,,,,,,,,igdb
CAT-21879,Super Bomberman;スーパーボンバーマン,Nintendo Super Famicom,198028,11992,,"Hudson Entertainment, Inc.","Hudson Entertainment, Inc.",,,,,,igdb
CAT-01858,Kick Off 3 European Challenge,Nintendo Super Nintendo Entertainment System,45708,19591,Sport,Anco Software Ltd.,Anco Software Ltd.; Vic Tokai Europe,1994-12-26,,Super Nintendo Entertainment System; Sega Mega Drive/Genesis; DOS; Amiga,"1994 <Amiga> | 1994 <DOS> | 1994 <Super Nintendo Entertainment System> | Dec 26, 1994 <Sega Mega Drive/Genesis>",https://images.igdb.com/igdb/image/upload/t_cover_big/co5z1v.jpg,igdb
CAT-01816,Art of Fighting,Nintendo Super Nintendo Entertainment System,4514,2760,Fighting; Arcade,SNK,"D4 Enterprise, Inc; HAMSTER; Hudson Soft; K Amusement Leasing; SNK; SNK Home Entertainment, Inc.; SNK Playmore USA; SNK of America; Sega; Takara; Takara U.S.A.",1992-09-24,,Neo Geo AES; Arcade; PlayStation 3; Neo Geo MVS; PlayStation 4; Super Nintendo Entertainment System; Wii; Sega Mega Drive/Genesis; PC (Microsoft Windows); PlayStation Vita; PlayStation Portable; Neo Geo CD; Turbografx-16/PC Engine CD; Xbox One; Nintendo Switch; Super Famicom,"Dec 11, 1992 <Neo Geo AES> | Dec 11, 1992 <Neo Geo MVS> | Sep 24, 1992 <Arcade> | Sep 24, 1992 <Neo Geo AES> | Sep 24, 1992 <Neo Geo MVS> | 1993 <Super Nintendo Entertainment System> | Dec 01, 1993 <Super Nintendo Entertainment System> | Oct 29, 1993 <Super Famicom> | Jan 14, 1994 <Sega Mega Drive/Genesis> | Mar 26, 1994 <Turbografx-16/PC Engine CD> | Sep 09, 1994 <Neo Geo CD> | Nov 02, 2007 <Wii> | Oct 08, 2007 <Wii> | Oct 09, 2007 <Wii> | Dec 21, 2010 <PlayStation 3> | Dec 21, 2010 <PlayStation Portable> | Dec 21, 2010 <PlayStation Vita> | Apr 20, 2017 <PlayStation 4> | Dec 14, 2017 <PC (Microsoft Windows)> | Mar 23, 2017 <Xbox One> | Sep 21, 2017 <Nintendo Switch>",https://images.igdb.com/igdb/image/upload/t_cover_big/co22y4.jpg,igdb
CAT-43001,Mortal Kombat 3,Nintendo Super Nintendo Entertainment System,284101,1434,,,,,,,,,igdb
CAT-08979,The Hunt For Red October;レッド オクトーバー;レッド・オクトーバー,Nintendo Super Famicom,14901,2491,,"Beam Software; Krome Studios Pty Ltd.; Riedel Software Productions, Inc.","Hi-Tech Expressions, Inc.",,,,,,igdb
CAT-35557,Tiny Toon Adventures Buster Busts Loose;タイニートゥーン アドベンチャーズ,Nintendo Super Famicom,8050,9441,,,,,,,,,igdb
CAT-42697,Rise of the Robots,Nintendo Super Nintendo Entertainment System,4259,9847,,,,,,,,,igdb
CAT-09103,Suzuka 8 Hours;スズカエイトアワーズ,Nintendo Super Famicom,40451,12299,,"Arc System Works Co., Ltd.; Namco",Namco,,,,,,igdb
CAT-70954,Jurassic Park,Nintendo Super Nintendo Entertainment System,217956,5721,,,,,,,,,igdb
CAT-26679,Indiana Jones' Greatest Adventures,Nintendo Super Nintendo Entertainment System,10843,6329,,,,,,,,,igdb
CAT-60688,Aero the Acro-Bat,Nintendo Super Nintendo Entertainment System,49256,19337,,,,,,,,,igdb
CAT-26986,King Arthur's World,Nintendo Super Nintendo Entertainment System,42506,12248,,,,,,,,,igdb
CAT-26962,Secret of Mana,Nintendo Super Nintendo Entertainment System,55092,19507,,,,,,,,,igdb
CAT-09401,Tetris Battle Gaiden;テトリスバトル 武闘外伝,Nintendo Super Famicom,38371,30673,,"Bullet-Proof Software, Inc.","Bullet-Proof Software, Inc.",,,,,,igdb
CAT-19834,World Cup USA 94,Nintendo Super Nintendo Entertainment System,217942,5498,,Tiertex Design Studios,Sunsoft; U.S. Gold Ltd.,,,,,,igdb
CAT-09223,Front Mission Gun Hazard;フロントミッションシリーズ ガンハザード,Nintendo Super Famicom,1499,7265,,"Cobra Team; Omiya Soft, Co. Ltd.",Square Enix; Squaresoft,,,,,,igdb
CAT-01844,Super Mario World,Nintendo Super Nintendo Entertainment System,270346,1334,Platform; Arcade,Nelsonic Industries,Nelsonic Industries,1991-12-31,,Handheld Electronic LCD,1991 <Handheld Electronic LCD>,https://images.igdb.com/igdb/image/upload/t_cover_big/co4az5.jpg,igdb
CAT-42820,Doom,Nintendo Super Nintendo Entertainment System,7351,7326,,,,,,,,,igdb
CAT-20189,Ashita no Joe;あしたのジョー,Nintendo Super Famicom,39578,44494,,Wave Software Ltd.,K. Amusement Leasing Co.,,,,,,igdb
CAT-55375,Super Puyo Puyo;す〜ぱ〜ぷよぷよ,Nintendo Super Famicom,42406,,,,,,,,,,igdb
CAT-42821,Claymates,Nintendo Super Nintendo Entertainment System,42623,1607,,,,,,,,,igdb
CAT-42389,Eek! The Cat,Nintendo Super Nintendo Entertainment System,42613,19221,,,,,,,,,igdb
CAT-37038,Battletoads Double Dragon,Nintendo Super Nintendo Entertainment System,242267,19366,,,,,,,,,igdb
CAT-09290,Syndicate;シンジケート,Nintendo Super Famicom,213885,10865,,"Bullfrog Productions, Ltd.",Electronic Arts; Ocean Software Ltd.,,,,,,igdb
CAT-19557,Syndicate;シンジケート,Nintendo Super Famicom,213885,10865,,"Bullfrog Productions, Ltd.",Electronic Arts; Ocean Software Ltd.,,,,,,igdb
CAT-42392,Tetris & Dr. Mario,Nintendo Super Nintendo Entertainment System,14531,6805,,,,,,,,,igdb
CAT-19741,The Legend of Zelda A Link to the Past,Nintendo Super Nintendo Entertainment System,1026,10276,,Nintendo EAD; SRD Co. Ltd.,Nintendo,,,,,,igdb
CAT-41580,Ghoul Patrol;グール・パトロール,Nintendo Super Famicom,42612,16760,,,,,,,,,igdb
CAT-19824,Cliffhanger,Nintendo Super Nintendo Entertainment System,346267,4616,,Malibu Interactive; Spidersoft Limited,989 Studios,,,,,,igdb
CAT-19757,Archer Maclean's Super Dropzone,Nintendo Super Nintendo Entertainment System,42637,54900,,Eurocom Entertainment Software,SCEE Studio Liverpool; UTV Ignition Entertainment,,,,,,igdb
CAT-42780,Mortal Kombat II,Nintendo Super Nintendo Entertainment System,223018,3571,,,,,,,,,igdb
CAT-26553,Rise of the Robots,Nintendo Super Nintendo Entertainment System,4259,9847,,,,,,,,,igdb
CAT-10207,Jimmy Connors Pro Tennis Tour;ジミーコナーズのプロテニスツアー,Nintendo Super Famicom,153771,5740,,Ubisoft Blue Byte,"Misawa Entertainment Co.,Ltd.; The Hit Squad; Ubisoft Entertainment",,,,,,igdb
CAT-01864,Super International Cricket,Nintendo Super Nintendo Entertainment System,42456,21668,Simulator; Sport; Strategy,Beam Software,Nintendo,1994-02-01,,Super Nintendo Entertainment System,"Feb 01, 1994 <Super Nintendo Entertainment System>",https://images.igdb.com/igdb/image/upload/t_cover_big/co5zel.jpg,igdb
CAT-35410,Action Pachio;アクションパチ夫,Nintendo Super Famicom,38352,22945,,,,,,,,,igdb
CAT-27023,Stargate,Nintendo Super Nintendo Entertainment System,10162,8853,,,,,,,,,igdb
CAT-01868,Michael Jordan Chaos in the Windy City,Nintendo Super Nintendo Entertainment System,42490,6694,Platform; Sport,Electronic Arts,Electronic Arts; Ocean; Playtronic,1994-11-21,,Super Nintendo Entertainment System,"Nov 21, 1994 <Super Nintendo Entertainment System> | Mar 11, 1995 <Super Nintendo Entertainment System> | Mar 1996 <Super Nintendo Entertainment System>",https://images.igdb.com/igdb/image/upload/t_cover_big/co8zyu.jpg,igdb
CAT-41578,Ghoul Patrol,Nintendo Super Nintendo Entertainment System,42612,16760,,,,,,,,,igdb
CAT-20408,Street Fighter II,Nintendo Super Nintendo Entertainment System,231006,6665,,Capcom; Freestyle; Rozner Labs Software Group,Capcom; U.S. Gold Ltd.,,,,,,igdb
CAT-20417,Ardy Lightfoot,Nintendo Super Nintendo Entertainment System,42736,16604,,ASCII Corporation,"ASCII Corporation; Titus Interactive, S.A.",,,,,,igdb
CAT-00086,Equinox,Nintendo Super Nintendo Entertainment System,329147,13849,,Acclaim Studios Manchester,"989 Studios; Sony Music Entertainment (Japan), Inc.",2022-06-12,,PC (Microsoft Windows),"Jun 12, 2022 <PC (Microsoft Windows)>",https://images.igdb.com/igdb/image/upload/t_cover_big/co5h4b.jpg,igdb
CAT-40664,NHLPA Hockey '93,Nintendo Super Nintendo Entertainment System,42479,5450,,,,,,,,,igdb
