object_number,title,title.type,object_name,object_name.type,object_category
29642,Conflict The Middle East Simulation;Conflict,Game Title Alternative;Game Title,Commodore Amiga,Diskette,Game
32661,Dragon's Lair LDG Laser Disc Game,Game Title,Commodore Amiga;Atari ST,LD;,Game
33060,Amiga 2000,Computer Description,Commodore Amiga,"",Computer
33306,"GVP A500-HD8+, SCSI + RAM, Side expansion slot",Peripheral Description,Commodore Amiga;Commodore Amiga 500,;,Peripheral
34271,"Sounds Terrific Volume 2 CD by Wierd Science, Shipping box, 25 pieces;Sounds Terrific Volume 2",Media Description;Media Description,PC;Commodore Amiga,CD;,Media
34274,"Amiga 500, Special Badge, European Computer of the Year Award",Computer Description,Commodore Amiga,"",Computer
34280,"Alfa Data OMM-MT Mouse for Amiga, Atari",Peripheral Description,Commodore Amiga;Atari ST,;,Peripheral
34284,"KCS Power PC Board, PC Emulator + RAM, Amiga 500 Trapdoor slot",Peripheral Description,Commodore Amiga,"",Peripheral
34287,Ambrosia RC AeroChopper R/C Flight Simulation System;R/C AeroChopper;RC AeroChopper;Ambrosia RC AeroChopper Controller,Game Bundle Description;Game Title;Game Title Alternative;Peripheral Description,Commodore Amiga,Diskette,Game Bundle
36393,Indiana Jones and the Last Crusade,Game Title,Commodore Amiga,Diskette,Game
36394,Indiana Jones and the Last Crusade,Game Title,Commodore Amiga,Diskette,Game
36395,Sinbad and the Throne of the Falcon,Game Title,Commodore Amiga,Diskette,Game
36805,Rocket Ranger,Game Title,Commodore Amiga,Diskette,Game
36806,The Three Stooges,Game Title,Commodore Amiga,Diskette,Game
36807,Erben der Erde Die Grosse Suche,Game Title,Commodore Amiga,Diskette,Game
36808,The Simpsons Bart VS. the Space Mutants,Game Title,Commodore Amiga,Diskette,Game
36809,Birds of Prey,Game Title,Commodore Amiga,Diskette,Game
