object_number,title,title.type,object_name,object_name.type,object_category
11772,Gyro Set;ジャイロセット;Gyromite;R.O.B.,Game Title Alternative;Game Title;Game Title Alternative;Game Title Alternative,Nintendo Family Computer,Cartridge,Game Bundle
11776,Karaoke Studio;カラオケスタジオ,Game Title Alternative;Game Title,Nintendo Family Computer,Cartridge,Game Bundle
23751,Assassin's Creed Bloodlines;Assassin's Creed: Bloodlines 100% Uncut;Assassin's Creed: Bloodlines Bundleversion,Game Title;Game Title Alternative;Game Title Alternative,Sony PlayStation Portable PSP,UMD,Game
26508,Lufia + Guide book set;Lufia II Rise of the Sinistrals;Estpolis Denki II,Game Bundle Description;Game Title Alternative;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Cartridge,Game Bundle
27799,Super Mario Maker;Bundled with Amiibo,Game Title;Game Bundle Description,Nintendo Wii U,Blu-ray,Game Bundle
28876,They Sold a Million;Daley Thompson's Decathlon;Beach-Head;Jet Set Willy;The Staff of Karnath,Game Bundle Description;Game Title;Game Title;Game Title;Game Title,Commodore 64,Cassette Tape,Game Bundle
29295,Hit Disks Volume 1;Jupiter Probe;Goldrunner;Slaygon;The Karate Kid Part II The Computer Game,Game Bundle Description;Game Title;Game Title;Game Title;Game Title,Commodore Amiga 500,Diskette,Game Bundle
29315,Full Blast;Ferrari Formula 1;Carrier Command;Rick Dangerous;Highway Patrol 2;Chicago 90;P47,Game Bundle Description;Game Title;Game Title;Game Title;Game Title;Game Title;Game Title,Commodore Amiga 500,Diskette,Game Bundle
29326,The Promised Lands and The Terrain Editor;Populous;Sim City,Game Bundle Description;Game Title;Game Title,Commodore Amiga 500,Diskette,Game Bundle
29329,Magnum 4;Batman The Caped Crusader;After Burner;Double Dragon;Operation Wolf,Game Bundle Description;Game Title;Game Title;Game Title;Game Title,Commodore Amiga 500,Diskette,Game Bundle
29332,The Promised Lands and The Terrain Editor;Populous;Sim City,Game Bundle Description;Game Title;Game Title,Commodore Amiga 500,Diskette,Game Bundle
29333,Champions;Jahangir Khan World Championship Squash;Manchester United Europe;World Championship Boxing Manager,Game Bundle Description;Game Title;Game Title;Game Title,Commodore Amiga 500,Diskette,Game Bundle
29375,Les Gen D'or De Génération 4;IK+;Voyager;Bio Challenge;R-Type,Game Bundle Description;Game Title;Game Title;Game Title;Game Title,Commodore Amiga 500,Diskette,Game Bundle
29382,Sega Sports 1;Super Monaco;Wimbledon;Ultimate Soccer,Game Bundle Description;Game Title;Game Title;,Sega Mega Drive,Cartridge,Game Bundle
29413,Future Dreams;Purple Saturn Day;Spidertronic;G.Nius;Warlock's Quest,Game Bundle Description;Game Title;Game Title;Game Title;Game Title,Commodore Amiga 500,Diskette,Game Bundle
