object_number,title,title.type,object_name,object_name.type,object_category
00079,Super Metroid;Metroid 3,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Cartridge,Game
00080,The Legend of Zelda A Link To The Past;Zelda 3,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Cartridge,Game
00081,Lagoon,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
00083,The Lost Vikings,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
00085,Terranigma,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
00086,Equinox,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
00087,Prince of Persia,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
00088,Actraiser,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
00091,Secret of Mana,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
00093,Illusion of Time,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
00094,Soul Blazer,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
01798,Super Star Wars Return of the Jedi,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
01800,The Blues Brothers,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
01802,Total Carnage,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
01803,Lucky Luke,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
01804,Jurassic Park,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
01805,Mystic Quest Legend;Final Fantasy Mystic Quest;Final Fantasy USA Mystic Quest,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Cartridge,Game
01806,Wolverine Adamantium Rage,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
01807,Super Goal!;Goal!;Super Cup Soccer,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Cartridge,Game
01810,Aguri Suzuki F-1 Super Driving;Aguri Suzuki F1 Super Driving;F-1 Aguri Suzuki Super Driving;Redline F-1 Racer;Redline F1 Racer;Suzuki Aguri no F-1 Super Driving,Game Title;Game Title Alternative;Game Title Alternative;Game Title Alternative;Game Title Alternative;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Cartridge,Game
01811,Super Adventure Island,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
01813,NBA All-Star Challenge,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
01815,Zoop,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
01816,Art of Fighting,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
01818,Mickey Mania;Mickey Mania The Timeless Adventures of Mickey Mouse,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Cartridge,Game
01819,Yogi Bear's Cartoon Capers;Yogi Bear;Adventures of Yogi Bear,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Cartridge,Game
01821,Cutthroat Island,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
