object_number,title,title.type,object_name,object_name.type,object_category,broadcast_standard,title.language,place_of_publication
01837,Kuifje in Tibet;Tintin in Tibet,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Cartridge,Game,PAL,Dutch;,Netherlands
01839,Eric Cantona Football Challenge;Striker;World Soccer '94 Road to Glory;World Soccer,Game Title;Game Title Alternative;Game Title Alternative;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Cartridge,Game,PAL,English;;;,France
01851,Champions World Class Endorsed by PSG;Champions World Class Endorsed by Paris Saint-Germain;Champions World Class Soccer;PSG Champions World Class Soccer;Champions World Class Soccer PSG,Game Title;Game Title Alternative;Game Title Alternative;Game Title Alternative;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Cartridge,Game,PAL,French;;;;,France
01878,Les Schtroumpfs autour du monde;De Smurfen Verkennen de wereld;The Smurfs Travel the World,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Cartridge,Game,PAL,French;;,Netherlands
08979,The Hunt For Red October;レッド オクトーバー;レッド・オクトーバー,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;,Japan
08980,Treasure Hunter G;トレジャーハンターG,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
08981,Mouryou Senki Madara 2;魍魎戦記 Mandara 2;魍魎戦記 マダラ 2,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;,Japan
08982,GP-1 Rapid Stream;ＧＰ－１ ラピッドストリーム;GP1 Rapid Stream;GP-1 Part II;GP-1 Part 2,Game Title Alternative;Game Title;Game Title Alternative;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;;;,Japan
08984,Super F1 Circus 2;スーパー エフワン サーカス2;Super F-1 Circus 2,Game Title Alternative;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;,Japan
08985,Angelique;アンジェリーク,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
08988,Super Pinball Behind The Mask;スーパー・ピンボール ビハインド・ザ・マスク,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
08989,Mario & Wario;マリオとワリオ;Mario and Wario,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;,Japan
09001,Doraemon 3 Nobita to Toki no Hougyoku;ドラえもん3 のび太と時の宝玉;Doraemon 3 Nobita to Toki no Hogyoku,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;,Japan
09004,NHL Pro Hockey '94;NHLプロホッケー'94;NHL Pro Hockey 94,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;,Japan
09005,Emerald Dragon;エメラルドドラゴン;Emerald Dragon ED,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;,Japan
09006,Street Fighter II;ストリートファイターII;Street Fighter 2 The World Warrior;Street Fighter II The World Warrior,Game Title Alternative;Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;;,Japan
09007,Chou Makai Taisen! Dorabocchan;超魔界大戦! どらぼっちゃん;Chou Makai Taisen! Dorabot-chan;Chou Makai Taisen! Doraboc Chan;Chou Makai Taisen! Dorabotchan,Game Title Alternative;Game Title;Game Title Alternative;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;;;,Japan
09008,Dragon Ball Z Super Saiya Densetsu;ドラゴンボールZ スーパー超サイヤ伝説;ドラゴンボールZ 超サイヤ伝説;Dragon Ball Z Chou Saiya Densetsu;Dragon Ball Z Legend of the Super Saiyan,Game Title Alternative;Game Title;Game Title Alternative;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;;;,Japan
09009,Natsuki Crisis Battle;なつきクライシスバトル,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
09010,Super Bomberman Panic Bomber W;スーパーボンバーマン ぱにっくボンバーW;スーパーボンバーマン ぱにっくボンバーワールド;Super Bomberman Panic Bomber World,Game Title Alternative;Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;;,Japan
09011,Romancing Sa-Ga 3;ロマンシング サ·ガ3;Romancing Sa·Ga 3;Romancing Sa Ga 3;Romancing SaGa 3,Game Title Alternative;Game Title;Game Title Alternative;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;;;,Japan
09012,Bishoujo Senshi Sailor Moon SuperS Fuwa Fuwa Panic;美少女戦士セーラームーンSuperS ふわふわパニック;美少女戦士セーラームーンSuper S ふわふわパニック;Bishoujo Senshi Sailor Moon Super S Fuwa Fuwa Panic,Game Title Alternative;Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;;,Japan
09013,Super Mario Kart;スーパーマリオカート,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
09014,Royal Conquest;ロイヤルコンクエスト,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
09015,Ultraman;ウルトラマン,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
09016,Mystic Ark;ミスティック・アーク,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
09017,Sim City;シムシティー;SimCity,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;,Japan
09018,Ganbare Goemon 3 Shishi Juuroku Hyoue no Karakuri Manjigatame;がんばれゴエモン3 獅子重禄兵衛のからくり卍固め;がんばれゴエモン3 ししじゅうろくひょうえのからくりまんじがため;Ganbare Goemon 3 Shishijūrokubē no Karakuri Manji Gatame,Game Title Alternative;Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;;,Japan
09019,Captain Tsubasa IV Pro no Rival Tachi;キャプテン翼IV —プロのライバルたち—;Captain Tsubasa IV Pro no Rival-tachi;Captain Tsubasa 4 Pro no Rival Tachi,Game Title Alternative;Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;;,Japan
09073,Ganbare Goemon Yukihime Kyuushutsu Emaki;がんばれゴエモン〜ゆき姫救出絵巻〜;Ganbare Goemon Yuki Hime Kyuushutsu Emaki;Ganbare Goemon Yukihime Kyūshutsu Emaki;The Legend of the Mystical Ninja,Game Title Alternative;Game Title;Game Title Alternative;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;;;,Japan
09088,Elfaria A Fantastic Theater;エルファリア;Elfaria The Isle of the Blest ,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;,Japan
09092,Garou Densetsu Shukumei no Tatakai;餓狼伝説 宿命の闘い;がろうでんせつ;Fatal Fury,Game Title Alternative;Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;;,Japan
