object_number,title,title.type,object_name,object_name.type,object_category,broadcast_standard,title.language,place_of_publication
01702,Ax Battler A Legend of Golden Axe,Game Title,Sega Game Gear,Cartridge,Game,PAL,English,""
02867,Golden Axe,Game Title,Sega Mega Drive,Cartridge,Game,PAL,English,""
02868,Golden Axe II,Game Title,Sega Mega Drive,Cartridge,Game,PAL,English,""
04690,Golden Axe II;Golden Axe 2,Game Title;Game Title Alternative,Sega Mega Drive,Cartridge,Game,PAL,English;,""
07396,Golden Axe Beast Rider,Game Title,Microsoft Xbox 360,DVD,Game,PAL,English,""
09617,Golden Axe: Beast Rider,Game Title,Sony PlayStation 3,Blu-ray,Game,PAL,English,""
17280,Golden Axe Beast Rider,Game Title,Microsoft Xbox 360,DVD,Game,NTSC-U,English,""
27483,Golden Axe,Game Title,Commodore Amiga 500,Diskette,Game,"","",""
31395,2-Hot 2 Handle ;Golden Axe;Super Off Road;Total Recall;Shadow Warriors,Game Bundle Description;Game Title Alternative;Game Title Alternative;Game Title Alternative;Game Title Alternative,Commodore Amiga 500,Diskette,Game Bundle,"",;;;;,""
32202,"Golden Axe I & II The Complete Soundtracks Data Discs 007, Vinyl record",Media Description,"","",Media,"","",""
34478,Golden Axe,Game Title,Sega Master System,Cartridge,Game,NTSC,"",""
34482,Golden Axe Warrior,Game Title,Sega Master System,Cartridge,Game,NTSC,"",""
35039,Golden Axe,Game Title,Sega Mega Drive,Cartridge,Game,"","",""
35751,Golden Axe The Duel,Game Title,Sega Saturn,"",Game,"","",""
36628,Golden Axe Warrior,Game Title,Sega Master System,Cartridge,Game,"","",""
36638,Golden Axe,Game Title,Sega Master System,Cartridge,Game,"","",""
40117,Golden Axe the Duel,Game Title,Sega Saturn,CD,Game,"","",""
41795,Golden Axe: Beast Rider,Game Title,Microsoft Xbox 360,DVD,Game,"","",""
41809,Golden Axe,Game Title,Sega Mega Drive,"",Game,PAL,"",""
41853,Golden Axe II;Golden Axe 2,Game Title;Game Title Alternative,Sega Mega Drive,"",Game,PAL,;,""
42046,Ax Battler Legend of Golden Axe,Game Title,Sega Game Gear,Cartridge,Game,"","",""
42464,Golden Axe The Duel;ゴールデンアックス・ザ・デュエル,Game Title;Game Title Alternative,Sega Saturn,CD,Game,NTSC-J,Japanese;,Japan
47865,Ax Battler Golden Axe Densetsu;アックス＝バトラー ゴールデンアックス伝説;Ax Battler A Legend of Golden Axe,Game Title;Game Title Alternative;Game Title Alternative,Sega Game Gear,Cartridge,Game,"",Japanese;;,Japan
49113,Golden Axe II;ゴールデンアックスII,Game Title;Game Title Alternative,Sega Mega Drive,Cartridge,Game,NTSC-J,Japanese;,Japan
49567,Golden Axe III;ゴールデンアックスIII;Golden Axe 3,Game Title Alternative;Game Title;Game Title Alternative,Sega Mega Drive,Cartridge,Game,NTSC-J,Japanese;;,Japan
55626,Golden Axe III;ゴールデンアックスIII;Golden Axe 3,Game Title;Game Title Alternative;Game Title Alternative,Sega Mega Drive,Cartridge,Game,NTSC-J,Japanese;;,Japan
56624,Golden Axe;ゴールデンアックス,Game Title;Game Title Alternative,Sega Mega Drive,Cartridge,Game,NTSC-J,Japanese;,Japan
57654,Golden Axe,Game Title,Sinclair ZX Spectrum,Cassette Tape,Game,"","",""
58445,Golden Axe,Game Title,Sega Mega Drive,Cartridge,Game,"","",""
58446,Golden Axe II,Game Title,Sega Mega Drive,Cartridge,Game,"","",""
61048,Golden Axe,Game Title,Commodore 64,"",Game,"","",""
61681,Golden Axe,Game Title,Commodore 64,"",Game,"","",""
61735,Golden Axe;ゴールデンアックス,Game Title;Game Title Alternative,NEC PC Engine CD-ROM² System,CD,Game,NTSC-J,Japanese;,Japan
62046,Golden Axe,Game Title,Commodore 64,"",Game,"","",""
62400,Golden Axe II,Game Title,Sega Genesis,Cartridge,Game,"","",""
62402,Golden Axe,Game Title,Commodore 64,"",Game,"","",""
64491,Golden Axe;ゴールデンアックス,Game Title;Game Title Alternative,NEC PC Engine CD-ROM² System,CD,Game,NTSC-J,Japanese;,Japan
66057,"Sega Flash Vol.1, Demo disc;Virtua Fighter 2;Baku Baku Animal;Golden Axe: The Duel;Panzer Dragoon Zwei;Sega Rally Championship",Promotional Description;Game Demo Title;Game Demo Title;Game Demo Title;Game Demo Title;Game Demo Title,Sega Saturn,CD,Promotional;Game Demo,PAL,English;;;;;,""
